case_id,source,category,gold_nct,selected_doc,backbone,decision,parse_ok,latency_sec,answer_chars,missing_facts_n,unresolved_reqs_n,cross_trial_leak_n,gen_snippet
case_trec2021_036,trec2021,possible_match_insufficient_evidence,NCT00005381,NCT03158805,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.691,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some of the eligibility criteria for this clinical trial, but we need more details to confirm your e"
case_trec2021_025,trec2021,possible_match_insufficient_evidence,NCT00001250,NCT02515110,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.8,134,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for this clinical trial, but we need to check a few things."",   ""supported_patien"
case_paraphrase_030,paraphrase_trec2022,consent_understanding,,NCT03829631,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.147,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you agree to participate, the study team will confirm your eligibility by asking questions and checking information. They will make sure you meet the"
case_trec2022_002,trec2022,possible_match_insufficient_evidence,,NCT01166412,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.159,0,1,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facts"": [     ""A 32-year-old woman with a last menstrual period 10 weeks ago, regular menses lasting for 6 days and repeating every 29 days."",     ""She has multiple male par"
case_paraphrase_005,paraphrase_trec2021,consent_understanding,,NCT03902262,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.149,196,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before we can decide if you're eligible for this trial, we need to check a few things with you. We'll ask about your medical history and do some tests to ma"
case_13,handcrafted,consent_understanding,,NCT01710072,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.035,241,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""To join this study, you will need to provide certain information from your medical records, such as details about your MRI scans and any medications you tak"
case_trec2021_022,trec2021,possible_match_insufficient_evidence,NCT00172822,NCT03791229,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.051,173,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet some of the eligibility criteria for the clinical trial. However, we need more details to confirm your e"
case_paraphrase_020,paraphrase_trec2022,consent_understanding,,NCT04530149,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.733,123,4,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you can join the clinical trial, the study team will need to confirm several things about your health and condition."",   ""supported_patient_facts"": ["
case_04,handcrafted,cannot_determine,,NCT00800644,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,7.682,130,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you might be eligible to participate in this study, but we need to check a few things."",   ""supported_patient_fa"
case_trec2022_045,trec2022,possible_match_insufficient_evidence,,NCT00314431,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.42,393,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you might be eligible for the clinical trial, but we need more details to confirm. You have Down syndrome, which"
case_paraphrase_015,paraphrase_trec2021,consent_understanding,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.548,239,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you can join our clinical trial, we need to check a few things with you. We'll make sure your condition matches what we're looking for, and we'll als"
case_trec2021_065,trec2021,possible_match_insufficient_evidence,NCT00005754,NCT00419562,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.202,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might not be eligible for this specific clinical trial. You need to have a proband with Type 1 diab"
case_trec2022_034,trec2022,possible_match_insufficient_evidence,,NCT00119704,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,11.982,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial. However, we need more details to confirm. Please let us k"
case_trec2022_031,trec2022,possible_match_insufficient_evidence,,NCT02789592,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.478,129,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems like you might be eligible for the clinical trial, but we need to check a few things."",   ""supported_patient_fac"
case_paraphrase_011,paraphrase_trec2021,explanation_request,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.221,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""This study aims to see if adding a medication called Revlimid to the current treatments for multiple myeloma can help more people get better and cause fewer"
case_01,handcrafted,possible_match_insufficient_evidence,,NCT00543023,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.483,147,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet most of the eligibility criteria for this study, but there are some details we need to confirm."",   ""sup"
case_trec2022_042,trec2022,possible_match_insufficient_evidence,,NCT02638922,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.301,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you may be eligible for the clinical trial. However, there are some details missing or unresolved that need furt"
case_trec2021_012,trec2021,possible_match_insufficient_evidence,NCT00001314,NCT03975998,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.097,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some eligibility criteria for the study, but there are some details we need to confirm."",   ""support"
case_trec2021_059,trec2021,possible_match_insufficient_evidence,NCT00001909,NCT00819676,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.103,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial, but we need to check a few things."",   ""supported_patient"
case_paraphrase_029,paraphrase_trec2022,cannot_determine,,NCT03829631,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.267,397,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on your symptoms, you might be eligible for the clinical trial if you have benign low back pain and have not had a confirmed cause of your pain, such "
case_trec2021_033,trec2021,possible_match_insufficient_evidence,NCT00006146,NCT00922233,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.888,150,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial. However, there are some details we need to confirm."",   """
case_14,handcrafted,teachback_style,,NCT00816998,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.157,222,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study requires a specific type of wrist fracture called a 'closed unstable distal radius fracture' to participate. This means you need to have a broken "
case_trec2021_044,trec2021,possible_match_insufficient_evidence,NCT00323752,NCT02609009,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.224,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet some of the eligibility criteria for the clinical trial. However, we need more details to confirm your e"
case_paraphrase_014,paraphrase_trec2021,cannot_determine,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.24,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial, but there are some details we need to confirm. You have m"
case_paraphrase_013,paraphrase_trec2021,risk_request,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.246,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on your medical history and current condition, you may be considered for this clinical trial. However, there are some uncertainties regarding your eli"
case_12,handcrafted,consent_understanding,,NCT04471363,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.381,109,5,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before we can say you are definitively eligible, there are some things the study team still needs to confirm."",   ""supported_patient_facts"": [""You are a can"
case_trec2021_008,trec2021,possible_match_insufficient_evidence,NCT00005579,NCT01604031,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.823,147,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to be a suitable candidate for this clinical trial. However, there are some details we need to confirm."",   ""sup"
case_trec2022_046,trec2022,possible_match_insufficient_evidence,,NCT04822701,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.188,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems you might be eligible for the clinical trial, but we need to confirm a few details."",   ""supported_patient_f"
case_trec2022_005,trec2022,possible_match_insufficient_evidence,,NCT04530149,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.188,169,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you may not be eligible for this clinical trial. You need to meet specific criteria related to rib fractures and"
case_05,handcrafted,possible_match_insufficient_evidence,,NCT02584972,Qwen/Qwen2.5-3B-Instruct,unlikely_match,True,6.451,227,2,0,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, you do not seem to fit the criteria for this study. The study is specifically for children aged 6-12 years old with Autism Spectrum Disorder (A"
case_trec2021_036,trec2021,possible_match_insufficient_evidence,NCT00005381,NCT03158805,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,23.394,165,4,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, there are some aspects that align with the study's inclusion criteria, but we need more details to determine your eli"
case_trec2021_025,trec2021,possible_match_insufficient_evidence,NCT00001250,NCT02515110,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,25.035,132,6,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but we need more details to confirm your eligibility."",   ""supported_patient_"
