judge,case_id,backbone,semantic_leak
gpt4o,case_trec2022_046,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_059,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_036,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_008,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_trec2022_042,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_trec2022_005,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_04,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_033,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_05,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_005,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_015,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_002,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_044,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_012,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_13,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_045,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_029,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_011,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_01,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_12,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_013,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_025,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_065,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_14,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_034,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_020,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_014,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_031,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_030,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_022,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2022_046,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_059,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_036,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_008,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2022_042,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2022_005,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_04,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_033,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_05,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_paraphrase_005,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_paraphrase_015,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2022_002,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_044,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_012,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_13,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2022_045,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_paraphrase_029,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_paraphrase_011,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_01,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_12,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_paraphrase_013,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_025,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_065,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_14,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2022_034,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_paraphrase_020,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_paraphrase_014,Qwen__Qwen2.5-3B-Instruct,1
sonnet,case_trec2022_031,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_paraphrase_030,Qwen__Qwen2.5-3B-Instruct,0
sonnet,case_trec2021_022,Qwen__Qwen2.5-3B-Instruct,0
