regime_gate,backbone,n_cases,metric,value
abstain,Qwen/Qwen2.5-3B-Instruct,82,factuality_mean,3.073170731707317
abstain,Qwen/Qwen2.5-7B-Instruct,82,factuality_mean,4.024390243902439
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,factuality_mean,3.701219512195122
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,factuality_mean,2.573170731707317
accept,Qwen/Qwen2.5-3B-Instruct,32,factuality_mean,2.921875
accept,Qwen/Qwen2.5-7B-Instruct,32,factuality_mean,3.765625
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,factuality_mean,3.046875
accept,mistralai/Mistral-7B-Instruct-v0.3,32,factuality_mean,2.875
abstain,Qwen/Qwen2.5-3B-Instruct,82,factuality_ci_lo,2.8109756097560976
abstain,Qwen/Qwen2.5-7B-Instruct,82,factuality_ci_lo,3.798780487804878
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,factuality_ci_lo,3.4451219512195124
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,factuality_ci_lo,2.3719512195121952
accept,Qwen/Qwen2.5-3B-Instruct,32,factuality_ci_lo,2.640625
accept,Qwen/Qwen2.5-7B-Instruct,32,factuality_ci_lo,3.421875
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,factuality_ci_lo,2.78125
accept,mistralai/Mistral-7B-Instruct-v0.3,32,factuality_ci_lo,2.5
abstain,Qwen/Qwen2.5-3B-Instruct,82,factuality_ci_hi,3.341463414634146
abstain,Qwen/Qwen2.5-7B-Instruct,82,factuality_ci_hi,4.2439024390243905
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,factuality_ci_hi,3.951219512195122
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,factuality_ci_hi,2.7865853658536586
accept,Qwen/Qwen2.5-3B-Instruct,32,factuality_ci_hi,3.21875
accept,Qwen/Qwen2.5-7B-Instruct,32,factuality_ci_hi,4.109375
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,factuality_ci_hi,3.328125
accept,mistralai/Mistral-7B-Instruct-v0.3,32,factuality_ci_hi,3.25
abstain,Qwen/Qwen2.5-3B-Instruct,82,groundedness_mean,3.073170731707317
abstain,Qwen/Qwen2.5-7B-Instruct,82,groundedness_mean,4.0
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,groundedness_mean,3.7134146341463414
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,groundedness_mean,2.6890243902439024
accept,Qwen/Qwen2.5-3B-Instruct,32,groundedness_mean,2.953125
accept,Qwen/Qwen2.5-7B-Instruct,32,groundedness_mean,3.84375
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,groundedness_mean,3.203125
accept,mistralai/Mistral-7B-Instruct-v0.3,32,groundedness_mean,3.0
abstain,Qwen/Qwen2.5-3B-Instruct,82,groundedness_ci_lo,2.817073170731707
abstain,Qwen/Qwen2.5-7B-Instruct,82,groundedness_ci_lo,3.7804878048780486
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,groundedness_ci_lo,3.475609756097561
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,groundedness_ci_lo,2.5
accept,Qwen/Qwen2.5-3B-Instruct,32,groundedness_ci_lo,2.65625
accept,Qwen/Qwen2.5-7B-Instruct,32,groundedness_ci_lo,3.5625
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,groundedness_ci_lo,2.921875
accept,mistralai/Mistral-7B-Instruct-v0.3,32,groundedness_ci_lo,2.671875
abstain,Qwen/Qwen2.5-3B-Instruct,82,groundedness_ci_hi,3.3353658536585367
abstain,Qwen/Qwen2.5-7B-Instruct,82,groundedness_ci_hi,4.213414634146342
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,groundedness_ci_hi,3.9390243902439024
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,groundedness_ci_hi,2.8902439024390243
accept,Qwen/Qwen2.5-3B-Instruct,32,groundedness_ci_hi,3.265625
accept,Qwen/Qwen2.5-7B-Instruct,32,groundedness_ci_hi,4.140625
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,groundedness_ci_hi,3.484375
accept,mistralai/Mistral-7B-Instruct-v0.3,32,groundedness_ci_hi,3.328125
abstain,Qwen/Qwen2.5-3B-Instruct,82,abstain_appropriateness_mean,3.1707317073170733
abstain,Qwen/Qwen2.5-7B-Instruct,82,abstain_appropriateness_mean,4.128048780487805
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,abstain_appropriateness_mean,3.731707317073171
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,abstain_appropriateness_mean,2.6951219512195124
accept,Qwen/Qwen2.5-3B-Instruct,32,abstain_appropriateness_mean,2.890625
accept,Qwen/Qwen2.5-7B-Instruct,32,abstain_appropriateness_mean,3.78125
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,abstain_appropriateness_mean,3.28125
accept,mistralai/Mistral-7B-Instruct-v0.3,32,abstain_appropriateness_mean,3.0
abstain,Qwen/Qwen2.5-3B-Instruct,82,abstain_appropriateness_ci_lo,2.9207317073170733
abstain,Qwen/Qwen2.5-7B-Instruct,82,abstain_appropriateness_ci_lo,3.908536585365854
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,abstain_appropriateness_ci_lo,3.451219512195122
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,abstain_appropriateness_ci_lo,2.4634146341463414
accept,Qwen/Qwen2.5-3B-Instruct,32,abstain_appropriateness_ci_lo,2.59375
accept,Qwen/Qwen2.5-7B-Instruct,32,abstain_appropriateness_ci_lo,3.484375
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,abstain_appropriateness_ci_lo,2.9839843750000004
accept,mistralai/Mistral-7B-Instruct-v0.3,32,abstain_appropriateness_ci_lo,2.65625
abstain,Qwen/Qwen2.5-3B-Instruct,82,abstain_appropriateness_ci_hi,3.426829268292683
abstain,Qwen/Qwen2.5-7B-Instruct,82,abstain_appropriateness_ci_hi,4.335365853658536
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,abstain_appropriateness_ci_hi,4.0060975609756095
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,abstain_appropriateness_ci_hi,2.926829268292683
accept,Qwen/Qwen2.5-3B-Instruct,32,abstain_appropriateness_ci_hi,3.1875
accept,Qwen/Qwen2.5-7B-Instruct,32,abstain_appropriateness_ci_hi,4.09375
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,abstain_appropriateness_ci_hi,3.59375
accept,mistralai/Mistral-7B-Instruct-v0.3,32,abstain_appropriateness_ci_hi,3.359375
abstain,Qwen/Qwen2.5-3B-Instruct,82,safety_mean,4.195121951219512
abstain,Qwen/Qwen2.5-7B-Instruct,82,safety_mean,4.689024390243903
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,safety_mean,4.536585365853658
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,safety_mean,4.048780487804878
accept,Qwen/Qwen2.5-3B-Instruct,32,safety_mean,4.0
accept,Qwen/Qwen2.5-7B-Instruct,32,safety_mean,4.484375
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,safety_mean,4.140625
accept,mistralai/Mistral-7B-Instruct-v0.3,32,safety_mean,4.0625
abstain,Qwen/Qwen2.5-3B-Instruct,82,safety_ci_lo,4.030487804878049
abstain,Qwen/Qwen2.5-7B-Instruct,82,safety_ci_lo,4.579268292682927
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,safety_ci_lo,4.396341463414634
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,safety_ci_lo,3.8841463414634143
accept,Qwen/Qwen2.5-3B-Instruct,32,safety_ci_lo,3.828125
accept,Qwen/Qwen2.5-7B-Instruct,32,safety_ci_lo,4.25
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,safety_ci_lo,3.921875
accept,mistralai/Mistral-7B-Instruct-v0.3,32,safety_ci_lo,3.765625
abstain,Qwen/Qwen2.5-3B-Instruct,82,safety_ci_hi,4.359756097560975
abstain,Qwen/Qwen2.5-7B-Instruct,82,safety_ci_hi,4.7926829268292686
