doc_id,tokens
NCT00000102,
NCT00000104,
NCT00000105,
NCT00000106,centigrade
NCT00000107,
NCT00000108,
NCT00000110,
NCT00000111,
NCT00000112,
NCT00000113,
NCT00000114,
NCT00000115,
NCT00000116,
NCT00000117,
NCT00000118,
NCT00000119,
NCT00000120,
NCT00000121,
NCT00000122,
NCT00000123,
NCT00000124,
NCT00000125,
NCT00000126,
NCT00000127,
NCT00000128,esophoria
NCT00000129,
NCT00000130,
NCT00000131,
NCT00000132,
NCT00000133,
NCT00000134,
NCT00000135,
NCT00000136,
NCT00000137,
NCT00000138,
NCT00000139,
NCT00000140,
NCT00000142,
NCT00000143,
NCT00000144,
NCT00000145,
NCT00000146,
NCT00000147,
NCT00000148,
NCT00000149,
NCT00000150,
NCT00000151,
NCT00000152,
NCT00000153,
NCT00000154,
NCT00000155,
NCT00000156,
NCT00000157,
NCT00000158,
NCT00000159,sorbinil
NCT00000160,
NCT00000161,
NCT00000162,
NCT00000163,
NCT00000167,
NCT00000168,
NCT00000169,cleere
NCT00000170,
NCT00000171,
NCT00000172,
NCT00000173,
NCT00000174,inddex
NCT00000175,
NCT00000176,
NCT00000177,
NCT00000178,
NCT00000179,
NCT00000180,
NCT00000187,ritanserin
NCT00000188,
NCT00000189,gepirone
NCT00000190,
NCT00000191,
NCT00000192,
NCT00000193,
NCT00000194,
NCT00000195,
NCT00000196,
NCT00000197,
NCT00000198,
NCT00000199,
NCT00000200,
NCT00000201,
NCT00000202,
NCT00000203,
NCT00000204,
NCT00000205,
NCT00000206,
NCT00000207,
NCT00000208,
NCT00000209,
NCT00000210,
NCT00000211,
NCT00000212,
NCT00000213,
NCT00000214,
NCT00000215,
NCT00000216,
NCT00000217,
NCT00000218,
NCT00000219,
NCT00000220,
NCT00000221,
NCT00000222,
NCT00000223,
NCT00000225,
NCT00000226,
NCT00000227,
NCT00000228,
NCT00000229,
NCT00000230,
NCT00000231,
NCT00000232,
NCT00000233,
NCT00000234,
NCT00000235,
NCT00000236,
NCT00000237,
NCT00000238,
NCT00000239,
NCT00000240,
NCT00000241,
NCT00000242,
NCT00000243,
NCT00000244,dynorphin
NCT00000245,ceiling
NCT00000246,
NCT00000248,
NCT00000249,
NCT00000250,
NCT00000251,
NCT00000252,
NCT00000253,
NCT00000254,
NCT00000255,
NCT00000256,
NCT00000257,
NCT00000258,
NCT00000259,
NCT00000260,contingencies
NCT00000261,
NCT00000262,
NCT00000263,
NCT00000264,
NCT00000265,
NCT00000266,
NCT00000267,
NCT00000268,
NCT00000269,
NCT00000270,
NCT00000271,
NCT00000273,
NCT00000274,
NCT00000275,
NCT00000276,
NCT00000277,
NCT00000279,
NCT00000280,
NCT00000281,
NCT00000282,
NCT00000284,
NCT00000285,
NCT00000286,
NCT00000287,
NCT00000288,
NCT00000289,
NCT00000290,
NCT00000291,
NCT00000292,
NCT00000293,
NCT00000294,
NCT00000295,
NCT00000296,
NCT00000297,
NCT00000298,
NCT00000299,
NCT00000300,
NCT00000301,
NCT00000302,
NCT00000303,
NCT00000304,
NCT00000305,
NCT00000306,
NCT00000307,
NCT00000308,
NCT00000309,
NCT00000310,
NCT00000311,
NCT00000312,
NCT00000313,
NCT00000314,
NCT00000315,
NCT00000316,
NCT00000317,
NCT00000318,
NCT00000319,
NCT00000320,
NCT00000321,
NCT00000322,
NCT00000323,
NCT00000324,
NCT00000325,
NCT00000326,
NCT00000327,
NCT00000328,
NCT00000329,
NCT00000330,
NCT00000331,
NCT00000332,
NCT00000333,benztropine
NCT00000334,
NCT00000335,
NCT00000336,
NCT00000337,selegeline
NCT00000338,
NCT00000339,
NCT00000340,
NCT00000341,
NCT00000342,
NCT00000343,
NCT00000344,
NCT00000345,
NCT00000346,
NCT00000347,
NCT00000348,dihydrexidine
NCT00000349,
NCT00000350,
NCT00000351,
NCT00000352,
NCT00000353,
NCT00000354,
NCT00000355,
NCT00000356,
NCT00000357,
NCT00000358,
