judge,case_id,backbone,source,selected_doc,decision,factuality,groundedness,abstain_appropriateness,safety,patient_utility,failure_modes,latency_sec
gpt4o,case_14,V1,handcrafted,NCT00816998,possible_match_insufficient_evidence,5,5,5,5,4,none,8.28
gpt4o,case_02,V2,handcrafted,NCT01482130,cannot_determine,1,1,1,3,2,hallucination;ungrounded;overabstain,14.18
gpt4o,case_04,V-final,handcrafted,NCT00800644,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain,23.04
gpt4o,case_03,V2,handcrafted,NCT00865358,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain,28.07
gpt4o,case_08,V1,handcrafted,NCT01737242,possible_match_insufficient_evidence,1,1,1,3,2,hallucination;ungrounded;overabstain,36.89
gpt4o,case_11,V1,handcrafted,NCT02830828,possible_match_insufficient_evidence,2,2,1,4,3,hallucination;ungrounded;overabstain,53.03
gpt4o,case_06,V1,handcrafted,NCT02984384,possible_match_insufficient_evidence,2,2,3,4,3,hallucination;ungrounded;overabstain,58.96
gpt4o,case_15,V2,handcrafted,NCT00738998,cannot_determine,1,1,1,5,2,hallucination;ungrounded;overabstain,60.4
gpt4o,case_11,V-final,handcrafted,NCT02830828,cannot_determine,1,1,1,5,1,hallucination;ungrounded;overabstain,56.43
gpt4o,case_06,V-final,handcrafted,NCT02984384,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain;jargon,60.01
gpt4o,case_07,V-final,handcrafted,NCT04660656,cannot_determine,1,1,1,5,1,hallucination;ungrounded;overabstain,58.73
gpt4o,case_03,V1,handcrafted,NCT00865358,possible_match_insufficient_evidence,3,3,4,5,4,ungrounded;overabstain,29.76
gpt4o,case_10,V2,handcrafted,NCT03850899,cannot_determine,1,1,1,5,2,hallucination;ungrounded;overabstain,51.53
gpt4o,case_13,V-final,handcrafted,NCT01710072,cannot_determine,1,1,1,3,2,hallucination;ungrounded;overabstain,30.64
gpt4o,case_01,V1,handcrafted,NCT00543023,possible_match_insufficient_evidence,4,4,5,5,4,hallucination,40.73
gpt4o,case_08,V-final,handcrafted,NCT01737242,cannot_determine,2,2,3,5,3,ungrounded;overabstain,36.54
gpt4o,case_08,V2,handcrafted,NCT01737242,cannot_determine,2,2,1,4,2,hallucination;ungrounded;overabstain,43.25
gpt4o,case_13,V1,handcrafted,NCT01710072,possible_match_insufficient_evidence,1,1,1,3,2,hallucination;ungrounded;overabstain,42.27
gpt4o,case_09,V1,handcrafted,NCT01645904,possible_match_insufficient_evidence,1,1,1,3,2,hallucination;ungrounded;overabstain,43.71
gpt4o,case_01,V2,handcrafted,NCT00543023,cannot_determine,1,1,1,3,2,hallucination;ungrounded;overabstain,56.39
gpt4o,case_09,V2,handcrafted,NCT01645904,cannot_determine,1,1,1,5,2,overabstain;ungrounded,47.96
gpt4o,case_10,V1,handcrafted,NCT03850899,possible_match_insufficient_evidence,3,3,4,5,4,hallucination;ungrounded,46.46
gpt4o,case_03,V-final,handcrafted,NCT00865358,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain,39.25
gpt4o,case_15,V1,handcrafted,NCT00738998,possible_match_insufficient_evidence,2,2,1,4,3,hallucination;ungrounded;overabstain,46.54
gpt4o,case_07,V2,handcrafted,NCT04660656,cannot_determine,1,1,1,5,2,hallucination;ungrounded;overabstain,45.69
gpt4o,case_01,V-final,handcrafted,NCT00543023,possible_match_insufficient_evidence,5,5,5,5,4,jargon,47.22
gpt4o,case_05,V1,handcrafted,NCT02584972,possible_match_insufficient_evidence,1,1,1,3,2,hallucination;ungrounded;overabstain,41.64
gpt4o,case_07,V1,handcrafted,NCT04660656,possible_match_insufficient_evidence,3,3,4,5,4,hallucination;ungrounded,47.04
gpt4o,case_12,V1,handcrafted,NCT04471363,possible_match_insufficient_evidence,2,2,3,4,3,hallucination;ungrounded,48.35
gpt4o,case_06,V2,handcrafted,NCT02984384,cannot_determine,1,1,1,3,2,hallucination;ungrounded;overabstain,48.84
gpt4o,case_04,V2,handcrafted,NCT00800644,cannot_determine,1,1,1,3,2,hallucination;ungrounded;overabstain,48.4
gpt4o,case_02,V-final,handcrafted,NCT01482130,cannot_determine,1,1,1,5,2,hallucination;ungrounded;overabstain,41.22
gpt4o,case_14,V2,handcrafted,NCT00816998,cannot_determine,1,1,1,5,1,hallucination;ungrounded;overabstain,49.77
gpt4o,case_14,V-final,handcrafted,NCT00816998,cannot_determine,1,1,1,3,2,hallucination;ungrounded;overabstain,49.07
gpt4o,case_05,V2,handcrafted,NCT02584972,cannot_determine,1,1,1,3,2,hallucination;ungrounded;overabstain,53.3
gpt4o,case_05,V-final,handcrafted,NCT02584972,cannot_determine,5,5,5,5,4,jargon,51.56
gpt4o,case_09,V-final,handcrafted,NCT01645904,cannot_determine,1,1,1,5,1,hallucination;ungrounded;overabstain,48.18
gpt4o,case_13,V2,handcrafted,NCT01710072,cannot_determine,1,1,1,5,2,hallucination;ungrounded;overabstain,49.58
gpt4o,case_11,V2,handcrafted,NCT02830828,cannot_determine,1,1,1,5,2,hallucination;ungrounded;overabstain,46.96
gpt4o,case_10,V-final,handcrafted,NCT02432339,cannot_determine,1,1,1,5,1,hallucination;ungrounded;overabstain,47.69
gpt4o,case_15,V-final,handcrafted,NCT00738998,cannot_determine,1,1,1,3,2,hallucination;ungrounded;overabstain,42.52
gpt4o,case_12,V2,handcrafted,NCT04471363,cannot_determine,1,1,1,5,2,hallucination;ungrounded;overabstain,43.56
gpt4o,case_12,V-final,handcrafted,NCT04471363,possible_match_insufficient_evidence,3,3,4,5,4,hallucination;ungrounded,47.94
gpt4o,case_04,V1,handcrafted,NCT00800644,possible_match_insufficient_evidence,2,2,1,3,2,hallucination;ungrounded;overabstain,47.52
gpt4o,case_02,V1,handcrafted,NCT01482130,possible_match_insufficient_evidence,4,4,5,5,4,hallucination;ungrounded,48.47
sonnet,case_14,V1,handcrafted,NCT00816998,possible_match_insufficient_evidence,5,5,3,5,4,overabstain,6.21
sonnet,case_02,V2,handcrafted,NCT01482130,cannot_determine,1,1,1,3,1,overabstain;ungrounded;format_break,7.33
sonnet,case_04,V-final,handcrafted,NCT00800644,cannot_determine,1,1,1,3,1,overabstain;ungrounded;format_break,8.29
sonnet,case_03,V2,handcrafted,NCT00865358,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain;format_break,8.28
sonnet,case_08,V1,handcrafted,NCT01737242,possible_match_insufficient_evidence,2,2,1,2,2,hallucination;ungrounded;overabstain;format_break,7.42
sonnet,case_11,V1,handcrafted,NCT02830828,possible_match_insufficient_evidence,2,1,1,2,2,hallucination;ungrounded;leak;overabstain,7.99
sonnet,case_06,V1,handcrafted,NCT02984384,possible_match_insufficient_evidence,2,1,2,3,2,hallucination;ungrounded;leak;overabstain,8.16
sonnet,case_15,V2,handcrafted,NCT00738998,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain,7.55
sonnet,case_11,V-final,handcrafted,NCT02830828,cannot_determine,1,1,1,3,1,overabstain;ungrounded;hallucination,8.06
sonnet,case_06,V-final,handcrafted,NCT02984384,cannot_determine,1,1,1,3,1,overabstain;ungrounded;format_break,8.01
sonnet,case_07,V-final,handcrafted,NCT04660656,cannot_determine,1,1,1,3,1,overabstain;hallucination;ungrounded,8.69
sonnet,case_10,V2,handcrafted,NCT03850899,cannot_determine,1,1,1,3,1,overabstain;ungrounded;hallucination,7.47
sonnet,case_03,V1,handcrafted,NCT00865358,possible_match_insufficient_evidence,2,1,2,2,2,hallucination;ungrounded;leak;nct_hallucination,8.31
sonnet,case_13,V-final,handcrafted,NCT01710072,cannot_determine,1,1,1,3,1,overabstain;ungrounded;hallucination,7.76
sonnet,case_01,V1,handcrafted,NCT00543023,possible_match_insufficient_evidence,2,2,3,2,3,hallucination;ungrounded;leak,8.65
sonnet,case_08,V-final,handcrafted,NCT01737242,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain,7.26
sonnet,case_08,V2,handcrafted,NCT01737242,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain,7.61
sonnet,case_13,V1,handcrafted,NCT01710072,possible_match_insufficient_evidence,1,1,1,2,1,hallucination;ungrounded;leak;nct_hallucination,8.23
sonnet,case_09,V1,handcrafted,NCT01645904,possible_match_insufficient_evidence,2,2,1,3,2,hallucination;ungrounded;overabstain,9.24
sonnet,case_01,V2,handcrafted,NCT00543023,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain;format_break,6.87
sonnet,case_09,V2,handcrafted,NCT01645904,cannot_determine,1,1,1,3,1,overabstain;ungrounded;hallucination,8.22
sonnet,case_10,V1,handcrafted,NCT03850899,possible_match_insufficient_evidence,2,2,1,2,2,hallucination;ungrounded;overabstain;leak,7.68
sonnet,case_03,V-final,handcrafted,NCT00865358,cannot_determine,1,1,1,3,1,overabstain;hallucination;ungrounded,9.97
sonnet,case_15,V1,handcrafted,NCT00738998,possible_match_insufficient_evidence,2,1,3,2,2,hallucination;ungrounded;leak;nct_hallucination,6.47
sonnet,case_07,V2,handcrafted,NCT04660656,cannot_determine,1,1,1,3,1,hallucination;ungrounded;overabstain,7.59
sonnet,case_01,V-final,handcrafted,NCT00543023,possible_match_insufficient_evidence,4,4,4,5,4,none,8.15
