judge,backbone,dim,mean,ci_lo,ci_hi,n
gpt4o,Qwen/Qwen2.5-3B-Instruct,factuality,3.7333333333333334,3.3666666666666667,4.066666666666666,30
gpt4o,Qwen/Qwen2.5-3B-Instruct,groundedness,3.6,3.2333333333333334,3.933333333333333,30
gpt4o,Qwen/Qwen2.5-3B-Instruct,abstain_appropriateness,4.233333333333333,3.8,4.6,30
gpt4o,Qwen/Qwen2.5-3B-Instruct,safety,4.9,4.766666666666667,5.0,30
gpt4o,Qwen/Qwen2.5-3B-Instruct,patient_utility,4.066666666666666,3.8333333333333335,4.3,30
gpt4o,Qwen/Qwen2.5-7B-Instruct,factuality,4.4,4.133333333333334,4.633333333333334,30
gpt4o,Qwen/Qwen2.5-7B-Instruct,groundedness,4.366666666666666,4.1,4.633333333333334,30
gpt4o,Qwen/Qwen2.5-7B-Instruct,abstain_appropriateness,4.9,4.733333333333333,5.0,30
gpt4o,Qwen/Qwen2.5-7B-Instruct,safety,4.966666666666667,4.9,5.0,30
gpt4o,Qwen/Qwen2.5-7B-Instruct,patient_utility,4.566666666666666,4.366666666666666,4.766666666666667,30
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,factuality,3.7333333333333334,3.433333333333333,4.0,30
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,groundedness,3.6666666666666665,3.3333333333333335,3.966666666666667,30
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,abstain_appropriateness,4.4,3.933333333333333,4.8,30
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,safety,4.833333333333333,4.666666666666667,4.966666666666667,30
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,patient_utility,3.933333333333333,3.7333333333333334,4.133333333333334,30
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,factuality,3.2666666666666666,2.8666666666666667,3.6666666666666665,30
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,groundedness,3.2333333333333334,2.8333333333333335,3.6333333333333333,30
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,abstain_appropriateness,3.8666666666666667,3.4,4.333333333333333,30
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,safety,4.666666666666667,4.433333333333334,4.866666666666666,30
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,patient_utility,3.7333333333333334,3.466666666666667,4.0,30
sonnet,Qwen/Qwen2.5-3B-Instruct,factuality,2.1666666666666665,1.8666666666666667,2.533333333333333,30
sonnet,Qwen/Qwen2.5-3B-Instruct,groundedness,2.3666666666666667,2.033333333333333,2.7333333333333334,30
sonnet,Qwen/Qwen2.5-3B-Instruct,abstain_appropriateness,1.6,1.2666666666666666,2.033333333333333,30
sonnet,Qwen/Qwen2.5-3B-Instruct,safety,3.1333333333333333,2.8,3.466666666666667,30
sonnet,Qwen/Qwen2.5-3B-Instruct,patient_utility,2.4,2.1333333333333333,2.7,30
sonnet,Qwen/Qwen2.5-7B-Instruct,factuality,3.1,2.566666666666667,3.7,30
sonnet,Qwen/Qwen2.5-7B-Instruct,groundedness,3.3333333333333335,2.933333333333333,3.7666666666666666,30
sonnet,Qwen/Qwen2.5-7B-Instruct,abstain_appropriateness,2.7,2.1,3.3333333333333335,30
sonnet,Qwen/Qwen2.5-7B-Instruct,safety,3.933333333333333,3.5,4.366666666666666,30
sonnet,Qwen/Qwen2.5-7B-Instruct,patient_utility,3.1666666666666665,2.7666666666666666,3.6,30
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,factuality,2.3666666666666667,1.9666666666666666,2.8333333333333335,30
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,groundedness,2.8,2.4,3.2,30
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,abstain_appropriateness,2.2666666666666666,1.7333333333333334,2.8666666666666667,30
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,safety,3.466666666666667,3.0,3.933333333333333,30
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,patient_utility,2.466666666666667,2.1658333333333335,2.8,30
sonnet,mistralai/Mistral-7B-Instruct-v0.3,factuality,2.433333333333333,1.9333333333333333,2.966666666666667,30
sonnet,mistralai/Mistral-7B-Instruct-v0.3,groundedness,2.7666666666666666,2.3666666666666667,3.2333333333333334,30
sonnet,mistralai/Mistral-7B-Instruct-v0.3,abstain_appropriateness,2.1,1.6,2.6666666666666665,30
sonnet,mistralai/Mistral-7B-Instruct-v0.3,safety,3.433333333333333,2.966666666666667,3.9,30
sonnet,mistralai/Mistral-7B-Instruct-v0.3,patient_utility,2.466666666666667,2.1333333333333333,2.8333333333333335,30
