doc_id,title_len,condition_len,summary_len,detailed_description_len,eligibility_len
NCT00000102,71,0,266,916,326
NCT00000104,54,0,1380,0,245
NCT00000105,60,0,1954,987,1495
NCT00000106,87,0,847,0,2089
NCT00000107,55,0,841,0,100
NCT00000108,77,0,1103,0,319
NCT00000110,85,0,1406,0,246
NCT00000111,62,0,1759,0,147
NCT00000112,65,0,585,0,112
NCT00000113,45,0,491,3227,684
NCT00000114,84,0,153,1807,980
NCT00000115,78,0,128,2364,797
NCT00000116,41,0,173,1454,775
NCT00000117,52,0,572,4856,1337
NCT00000118,55,0,247,3768,483
NCT00000119,67,0,285,2188,602
NCT00000120,48,0,289,3181,832
NCT00000121,32,0,846,2131,248
NCT00000122,43,0,248,2108,270
NCT00000123,34,0,898,2355,614
NCT00000124,42,0,604,3707,277
NCT00000125,42,0,595,4251,943
NCT00000126,71,0,372,5024,209
NCT00000127,53,0,158,3314,249
NCT00000128,53,0,641,4192,481
NCT00000129,56,0,304,3913,625
NCT00000130,38,0,383,2689,1273
NCT00000131,35,0,426,2233,531
NCT00000132,36,0,535,4450,592
NCT00000133,115,0,362,4644,712
NCT00000134,102,0,551,1720,879
NCT00000135,99,0,163,2347,2020
NCT00000136,101,0,172,1383,942
NCT00000137,52,0,187,2704,661
NCT00000138,35,0,523,3428,289
NCT00000139,36,0,653,4357,91
NCT00000140,18,0,534,2442,215
NCT00000142,96,0,166,2163,3397
NCT00000143,97,0,361,3777,1586
NCT00000144,70,0,189,2384,244
NCT00000145,37,0,374,2661,391
NCT00000146,37,0,320,3830,603
NCT00000147,40,0,320,3831,603
NCT00000148,43,0,213,2888,187
NCT00000149,54,0,166,3052,371
NCT00000150,31,0,981,4979,1535
NCT00000151,50,0,610,2160,379
NCT00000152,58,0,655,3488,657
NCT00000153,60,0,655,4075,1225
NCT00000154,44,0,707,1876,406
NCT00000155,69,0,431,2435,629
NCT00000156,72,0,131,3954,301
NCT00000157,60,0,403,3846,340
NCT00000158,36,0,1803,1729,2606
NCT00000159,32,0,252,4059,494
NCT00000160,32,0,302,2201,611
NCT00000161,56,0,711,3344,2127
NCT00000162,27,0,416,1712,699
NCT00000163,47,0,605,2833,174
NCT00000167,66,0,240,3766,463
NCT00000168,58,0,660,3065,683
NCT00000169,90,0,432,3896,349
NCT00000170,61,0,1118,3800,547
