backbone,case_id,selected_doc,narrow_leak,wide_leak,is_adversarial,is_deployed_accept,dominance_ratio,n_trials_in_pool,source,category,sem_gpt4o,sem_sonnet,sem_either,sem_both
Qwen__Qwen2.5-3B-Instruct,case_01,NCT00543023,0,0,0,1,1.5933052467801332,7,handcrafted,possible_match_insufficient_evidence,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_04,NCT00800644,0,0,0,1,1.5621628474946785,7,handcrafted,cannot_determine,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_05,NCT02584972,0,0,0,1,1.5639923127668005,7,handcrafted,possible_match_insufficient_evidence,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_12,NCT04471363,0,0,0,1,1.5763069206038558,5,handcrafted,consent_understanding,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_13,NCT01710072,0,0,0,1,1.5282442644070684,6,handcrafted,consent_understanding,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_14,NCT00816998,0,0,0,1,4.611921044763521,6,handcrafted,teachback_style,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_paraphrase_005,NCT03902262,0,0,1,1,1.4400902871090568,7,paraphrase_trec2021,consent_understanding,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_paraphrase_011,NCT00843310,0,0,0,1,2.133087406352697,7,paraphrase_trec2021,explanation_request,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_paraphrase_013,NCT00843310,0,0,0,1,1.917858802759137,8,paraphrase_trec2021,risk_request,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_paraphrase_014,NCT00843310,0,0,0,1,1.566516903362486,8,paraphrase_trec2021,cannot_determine,0.0,1.0,1.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_paraphrase_015,NCT00843310,0,0,0,1,1.8813422057219469,8,paraphrase_trec2021,consent_understanding,0.0,0.0,0.0,0.0
Qwen__Qwen2.5-3B-Instruct,case_paraphrase_020,NCT04530149,0,0,0,1,1.6701028877994175,5,paraphrase_trec2022,consent_understanding,0.0,0.0,0.0,0.0
