area,backbone,n,rows,parse_ok,commit_rate,abstain_rate,leak_rate,mean_latency,mean_answer_chars
Cardiovascular,Qwen/Qwen2.5-3B-Instruct,8,8,0.5,0.375,0.0,0.0,10.949375,93.875
Cardiovascular,Qwen/Qwen2.5-7B-Instruct,8,8,1.0,0.375,0.0,0.0,18.514875,139.75
Cardiovascular,meta-llama/Meta-Llama-3.1-8B-Instruct,8,8,0.25,0.25,0.0,0.0,24.60125,56.625
Cardiovascular,mistralai/Mistral-7B-Instruct-v0.3,8,8,0.25,0.25,0.0,0.0,23.91925,55.5
MSK_Bone,Qwen/Qwen2.5-3B-Instruct,14,14,0.7857142857142857,0.7142857142857143,0.0,0.0,9.739928571428573,128.28571428571428
MSK_Bone,Qwen/Qwen2.5-7B-Instruct,14,14,0.7857142857142857,0.7142857142857143,0.0,0.0,21.305857142857143,120.5
MSK_Bone,meta-llama/Meta-Llama-3.1-8B-Instruct,14,14,0.21428571428571427,0.14285714285714285,0.0,0.0,23.935499999999998,76.35714285714286
MSK_Bone,mistralai/Mistral-7B-Instruct-v0.3,14,14,0.35714285714285715,0.35714285714285715,0.0,0.0,23.849071428571428,110.28571428571429
Metabolic_Endocrine,Qwen/Qwen2.5-3B-Instruct,19,19,0.3684210526315789,0.21052631578947367,0.0,0.0,11.95357894736842,113.36842105263158
Metabolic_Endocrine,Qwen/Qwen2.5-7B-Instruct,19,19,0.9473684210526315,0.47368421052631576,0.0,0.0,20.706,165.10526315789474
Metabolic_Endocrine,meta-llama/Meta-Llama-3.1-8B-Instruct,19,19,0.3684210526315789,0.15789473684210525,0.0,0.0,23.726631578947366,94.15789473684211
Metabolic_Endocrine,mistralai/Mistral-7B-Instruct-v0.3,19,19,0.0,0.0,0.0,0.0,24.185263157894735,0.0
Neurology_CNS,Qwen/Qwen2.5-3B-Instruct,13,13,0.6923076923076923,0.5384615384615384,0.0,0.0,11.374846153846153,156.84615384615384
Neurology_CNS,Qwen/Qwen2.5-7B-Instruct,13,13,0.6923076923076923,0.15384615384615385,0.0,0.0,19.09269230769231,91.0
Neurology_CNS,meta-llama/Meta-Llama-3.1-8B-Instruct,13,13,0.5384615384615384,0.23076923076923078,0.0,0.0,23.58607692307692,138.53846153846155
Neurology_CNS,mistralai/Mistral-7B-Instruct-v0.3,13,13,0.0,0.0,0.0,0.0,24.271692307692305,0.0
Oncology,Qwen/Qwen2.5-3B-Instruct,16,16,0.5625,0.5,0.0,0.0,11.289375,118.9375
Oncology,Qwen/Qwen2.5-7B-Instruct,16,16,0.75,0.3125,0.0,0.0,20.699437500000002,130.75
Oncology,meta-llama/Meta-Llama-3.1-8B-Instruct,16,16,0.1875,0.0625,0.0,0.0,24.6208125,60.25
Oncology,mistralai/Mistral-7B-Instruct-v0.3,16,16,0.0,0.0,0.0,0.0,24.183625,0.0
Other,Qwen/Qwen2.5-3B-Instruct,44,44,0.7272727272727273,0.7045454545454546,0.0,0.0,10.84515909090909,143.0
Other,Qwen/Qwen2.5-7B-Instruct,44,44,0.9772727272727273,0.4772727272727273,0.0,0.0,18.97625,156.02272727272728
Other,meta-llama/Meta-Llama-3.1-8B-Instruct,44,44,0.5,0.25,0.0,0.0,23.637113636363633,125.4090909090909
Other,mistralai/Mistral-7B-Instruct-v0.3,44,44,0.1590909090909091,0.13636363636363635,0.022727272727272728,0.0,23.95252272727273,40.43181818181818
