case_id,regime_gate,gold_nct,pool_size,gold_in_pool,selected_in_qrels_any,relevant_available
case_trec2021_036,accept,NCT00005381,2,False,False,False
case_trec2021_025,accept,NCT00001250,5,False,True,True
case_paraphrase_030,accept,,4,False,False,False
case_trec2022_002,accept,,7,False,False,False
case_paraphrase_005,accept,,7,False,False,False
case_13,accept,,6,False,False,False
case_trec2021_022,accept,NCT00172822,6,False,True,True
case_paraphrase_020,accept,,5,False,False,False
case_04,accept,,7,False,False,False
case_trec2022_045,accept,,4,False,False,False
case_paraphrase_015,accept,,8,False,True,True
case_trec2021_065,accept,NCT00005754,5,False,False,False
case_trec2022_034,accept,,6,False,False,False
case_trec2022_031,accept,,7,False,False,False
case_paraphrase_011,accept,,7,False,True,True
case_01,accept,,7,False,False,False
case_trec2022_042,accept,,6,False,False,False
case_trec2021_012,accept,NCT00001314,6,False,False,False
case_trec2021_059,accept,NCT00001909,5,False,True,True
case_paraphrase_029,accept,,4,False,False,False
case_trec2021_033,accept,NCT00006146,6,False,True,True
case_14,accept,,6,False,False,False
case_trec2021_044,accept,NCT00323752,4,False,True,True
case_paraphrase_014,accept,,8,False,True,True
case_paraphrase_013,accept,,8,False,True,True
case_12,accept,,5,False,False,False
case_trec2021_008,accept,NCT00005579,4,False,False,False
case_trec2022_046,accept,,7,False,False,False
case_trec2022_005,accept,,6,False,False,False
case_05,accept,,7,False,False,False
case_paraphrase_023,abstain,,8,False,False,False
case_02,abstain,,8,False,False,False
case_paraphrase_002,abstain,,6,False,False,False
case_trec2021_035,accept,NCT00071786,5,False,True,True
case_trec2021_018,abstain,NCT00159406,8,False,False,False
case_paraphrase_019,abstain,,6,False,False,False
case_trec2021_050,abstain,NCT00026923,6,False,True,True
case_trec2021_042,abstain,NCT00015613,4,False,True,True
case_08,abstain,,5,False,False,False
case_paraphrase_010,abstain,,5,False,True,True
case_trec2022_014,abstain,,8,False,False,False
case_trec2022_026,abstain,,7,False,False,False
case_trec2022_007,abstain,,6,False,False,False
case_paraphrase_033,abstain,,7,False,True,True
case_trec2022_048,abstain,,7,False,False,False
case_trec2022_047,abstain,,6,False,False,False
case_trec2022_004,abstain,,8,False,False,False
case_paraphrase_026,abstain,,3,False,False,False
case_trec2022_018,abstain,,5,False,False,False
case_trec2022_030,abstain,,7,False,False,False
case_trec2021_056,abstain,NCT00001981,7,False,False,False
case_trec2021_057,abstain,NCT00124033,5,False,False,False
case_trec2022_013,abstain,,7,False,False,False
case_trec2021_058,abstain,NCT00124722,8,False,False,False
case_trec2021_009,abstain,NCT00013845,8,False,True,True
case_paraphrase_017,abstain,,7,False,False,False
case_09,abstain,,5,False,False,False
case_trec2022_023,abstain,,7,False,False,False
case_trec2021_049,abstain,NCT00001253,7,False,False,False
case_trec2022_006,abstain,,5,False,False,False
case_trec2022_021,abstain,,7,False,False,False
case_paraphrase_035,abstain,,7,False,True,True
case_trec2021_048,abstain,NCT00750139,4,False,False,False
case_paraphrase_009,abstain,,6,False,True,True
case_11,abstain,,8,False,False,False
case_paraphrase_016,abstain,,6,False,False,False
case_trec2022_050,abstain,,7,False,False,False
case_trec2021_053,abstain,NCT00395538,6,False,False,False
case_paraphrase_018,abstain,,6,False,False,False
case_trec2021_034,abstain,NCT00009659,6,False,False,False
case_trec2022_041,abstain,,7,False,False,False
case_trec2021_028,abstain,NCT00000568,6,False,False,False
case_paraphrase_007,abstain,,5,False,True,True
case_07,abstain,,6,False,False,False
case_trec2021_019,accept,NCT00000531,4,False,True,True
case_trec2022_012,abstain,,6,False,False,False
case_15,abstain,,7,False,False,False
case_paraphrase_012,abstain,,8,False,True,True
case_10,abstain,,5,False,False,False
case_trec2022_008,abstain,,5,False,False,False
case_paraphrase_025,abstain,,8,False,False,False
case_paraphrase_006,abstain,,4,False,True,True
case_trec2022_032,abstain,,7,False,False,False
case_trec2022_024,abstain,,7,False,False,False
case_paraphrase_034,abstain,,7,False,True,True
case_trec2021_047,abstain,NCT00004727,7,False,False,False
case_trec2021_061,abstain,NCT00005635,7,False,False,False
case_trec2022_016,abstain,,7,False,False,False
case_trec2021_073,abstain,NCT00966719,5,False,False,False
case_trec2022_027,abstain,,7,False,False,False
case_trec2021_013,abstain,NCT00005985,6,False,False,False
case_trec2022_020,abstain,,7,False,False,False
case_paraphrase_032,abstain,,8,False,True,True
case_paraphrase_027,abstain,,3,False,False,False
case_paraphrase_001,abstain,,6,False,False,False
case_trec2022_003,abstain,,5,False,False,False
case_paraphrase_031,abstain,,7,False,True,True
case_paraphrase_003,abstain,,7,False,False,False
case_paraphrase_008,abstain,,5,False,True,True
case_paraphrase_022,abstain,,8,False,True,True
case_trec2022_009,abstain,,7,False,False,False
case_trec2021_031,abstain,NCT00002536,6,False,True,True
case_03,abstain,,6,False,False,False
case_trec2022_037,abstain,,5,False,False,False
case_trec2021_001,abstain,NCT00002814,7,False,False,False
case_06,abstain,,6,False,False,False
case_trec2021_015,abstain,NCT00003049,8,False,True,True
case_paraphrase_028,abstain,,5,False,False,False
case_paraphrase_024,abstain,,8,False,False,False
case_trec2021_070,abstain,NCT00042562,6,False,False,False
case_paraphrase_004,abstain,,7,False,False,False
case_paraphrase_021,abstain,,8,False,True,True
case_trec2021_026,abstain,NCT00370344,7,False,False,False
case_trec2022_033,abstain,,6,False,False,False
