judge,backbone,failure_mode,count,share
gpt4o,Qwen/Qwen2.5-3B-Instruct,ungrounded,19,0.6333333333333333
gpt4o,Qwen/Qwen2.5-3B-Instruct,hallucination,17,0.5666666666666667
gpt4o,Qwen/Qwen2.5-3B-Instruct,none,7,0.23333333333333334
gpt4o,Qwen/Qwen2.5-3B-Instruct,overabstain,5,0.16666666666666666
gpt4o,Qwen/Qwen2.5-3B-Instruct,jargon,3,0.1
gpt4o,Qwen/Qwen2.5-3B-Instruct,overcommit,2,0.06666666666666667
gpt4o,Qwen/Qwen2.5-7B-Instruct,none,16,0.5333333333333333
gpt4o,Qwen/Qwen2.5-7B-Instruct,hallucination,13,0.43333333333333335
gpt4o,Qwen/Qwen2.5-7B-Instruct,ungrounded,13,0.43333333333333335
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,ungrounded,22,0.7333333333333333
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,hallucination,19,0.6333333333333333
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,none,4,0.13333333333333333
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,overabstain,3,0.1
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,overcommit,2,0.06666666666666667
gpt4o,meta-llama/Meta-Llama-3.1-8B-Instruct,jargon,2,0.06666666666666667
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,ungrounded,21,0.7
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,hallucination,20,0.6666666666666666
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,overabstain,11,0.36666666666666664
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,none,4,0.13333333333333333
gpt4o,mistralai/Mistral-7B-Instruct-v0.3,jargon,2,0.06666666666666667
sonnet,Qwen/Qwen2.5-3B-Instruct,ungrounded,25,0.8333333333333334
sonnet,Qwen/Qwen2.5-3B-Instruct,overabstain,24,0.8
sonnet,Qwen/Qwen2.5-3B-Instruct,hallucination,23,0.7666666666666667
sonnet,Qwen/Qwen2.5-3B-Instruct,safety,4,0.13333333333333333
sonnet,Qwen/Qwen2.5-3B-Instruct,none,2,0.06666666666666667
sonnet,Qwen/Qwen2.5-3B-Instruct,overcommit,2,0.06666666666666667
sonnet,Qwen/Qwen2.5-3B-Instruct,format_break,1,0.03333333333333333
sonnet,Qwen/Qwen2.5-3B-Instruct,patient_utility_issue,1,0.03333333333333333
sonnet,Qwen/Qwen2.5-7B-Instruct,ungrounded,18,0.6
sonnet,Qwen/Qwen2.5-7B-Instruct,overabstain,17,0.5666666666666667
sonnet,Qwen/Qwen2.5-7B-Instruct,hallucination,15,0.5
sonnet,Qwen/Qwen2.5-7B-Instruct,none,9,0.3
sonnet,Qwen/Qwen2.5-7B-Instruct,format_break,3,0.1
sonnet,Qwen/Qwen2.5-7B-Instruct,safety,1,0.03333333333333333
sonnet,Qwen/Qwen2.5-7B-Instruct,overcommit,1,0.03333333333333333
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,hallucination,22,0.7333333333333333
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,overabstain,21,0.7
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,ungrounded,18,0.6
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,format_break,7,0.23333333333333334
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,none,3,0.1
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,overcommit,2,0.06666666666666667
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,safety,2,0.06666666666666667
sonnet,meta-llama/Meta-Llama-3.1-8B-Instruct,jargon,2,0.06666666666666667
sonnet,mistralai/Mistral-7B-Instruct-v0.3,hallucination,21,0.7
sonnet,mistralai/Mistral-7B-Instruct-v0.3,ungrounded,20,0.6666666666666666
sonnet,mistralai/Mistral-7B-Instruct-v0.3,overabstain,15,0.5
sonnet,mistralai/Mistral-7B-Instruct-v0.3,format_break,13,0.43333333333333335
sonnet,mistralai/Mistral-7B-Instruct-v0.3,overcommit,6,0.2
sonnet,mistralai/Mistral-7B-Instruct-v0.3,none,2,0.06666666666666667
sonnet,mistralai/Mistral-7B-Instruct-v0.3,jargon,1,0.03333333333333333
sonnet,mistralai/Mistral-7B-Instruct-v0.3,safety,1,0.03333333333333333
