variant,case_id,factuality,groundedness,abstain_appropriateness,safety,patient_utility
V1,case_01,5.0,4.0,5.0,3.0,3.6666666666666665
V1,case_02,4.0,4.0,5.0,3.0,3.6666666666666665
V1,case_03,3.0,2.0,3.0,1.0,2.3333333333333335
V1,case_04,3.0,1.0,1.0,1.0,1.6666666666666667
V1,case_05,1.0,1.0,1.0,1.0,1.0
V1,case_06,4.0,1.0,5.0,1.0,2.3333333333333335
V1,case_07,3.0,1.0,5.0,1.0,1.0
V1,case_08,1.0,1.0,1.0,1.0,1.6666666666666667
V1,case_09,1.0,1.0,1.0,1.0,1.6666666666666667
V1,case_10,5.0,1.0,1.0,1.0,3.0
V1,case_11,5.0,1.0,5.0,1.0,2.3333333333333335
V1,case_12,5.0,1.0,1.0,1.0,2.3333333333333335
V1,case_13,5.0,1.0,5.0,1.0,1.0
V1,case_14,5.0,5.0,5.0,5.0,5.0
V1,case_15,2.0,1.0,3.0,1.0,2.3333333333333335
V2,case_01,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_02,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_03,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_04,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_05,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_06,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_07,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_08,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_09,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_10,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_11,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_12,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_13,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_14,4.0,5.0,5.0,4.0,3.6666666666666665
V2,case_15,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_01,4.0,4.0,5.0,3.0,3.6666666666666665
V-final,case_02,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_03,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_04,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_05,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_06,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_07,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_08,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_09,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_10,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_11,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_12,4.0,3.0,3.0,3.0,3.6666666666666665
V-final,case_13,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_14,4.0,5.0,5.0,4.0,3.6666666666666665
V-final,case_15,4.0,5.0,5.0,4.0,3.6666666666666665
