case_id,backbone,factuality_sonnet,groundedness_sonnet,abstain_appropriateness_sonnet,safety_sonnet,patient_utility_sonnet,factuality_gpt4o,groundedness_gpt4o,abstain_appropriateness_gpt4o,safety_gpt4o,patient_utility_gpt4o,factuality_delta,groundedness_delta,abstain_appropriateness_delta,safety_delta,patient_utility_delta
case_trec2021_022,meta-llama/Meta-Llama-3.1-8B-Instruct,2,3,1,5,2,5,5,5,5,5,-3,-2,-4,0,-3
case_trec2021_036,Qwen/Qwen2.5-3B-Instruct,2,2,1,3,2,4,3,4,5,4,-2,-1,-3,-2,-2
case_paraphrase_011,mistralai/Mistral-7B-Instruct-v0.3,2,2,1,3,2,3,3,4,5,3,-1,-1,-3,-2,-1
case_trec2021_044,Qwen/Qwen2.5-7B-Instruct,2,3,2,3,3,5,5,5,5,5,-3,-2,-3,-2,-2
case_trec2022_005,meta-llama/Meta-Llama-3.1-8B-Instruct,5,5,5,5,4,2,2,1,4,3,3,3,4,1,1
case_trec2021_012,mistralai/Mistral-7B-Instruct-v0.3,2,3,1,5,3,5,5,5,5,5,-3,-2,-4,0,-2
case_13,Qwen/Qwen2.5-7B-Instruct,2,2,2,4,2,3,3,4,5,4,-1,-1,-2,-1,-2
case_trec2021_059,Qwen/Qwen2.5-3B-Instruct,2,2,2,4,3,4,4,5,5,4,-2,-2,-3,-1,-1
case_paraphrase_011,meta-llama/Meta-Llama-3.1-8B-Instruct,2,2,1,2,2,4,4,5,5,4,-2,-2,-4,-3,-2
case_14,meta-llama/Meta-Llama-3.1-8B-Instruct,1,1,1,2,1,3,3,2,4,3,-2,-2,-1,-2,-2
case_trec2021_059,meta-llama/Meta-Llama-3.1-8B-Instruct,2,3,1,4,2,4,4,5,5,4,-2,-1,-4,-1,-2
case_04,meta-llama/Meta-Llama-3.1-8B-Instruct,2,2,1,3,2,4,4,5,5,4,-2,-2,-4,-2,-2
case_paraphrase_005,Qwen/Qwen2.5-3B-Instruct,2,2,1,3,2,3,3,4,5,4,-1,-1,-3,-2,-2
case_14,Qwen/Qwen2.5-3B-Instruct,5,5,2,5,4,5,5,5,5,5,0,0,-3,0,-1
case_paraphrase_014,Qwen/Qwen2.5-7B-Instruct,2,3,1,2,2,4,4,5,5,4,-2,-1,-4,-3,-2
case_trec2021_059,Qwen/Qwen2.5-7B-Instruct,2,3,2,5,3,5,5,5,5,5,-3,-2,-3,0,-2
case_trec2021_012,meta-llama/Meta-Llama-3.1-8B-Instruct,2,3,1,4,3,4,4,5,5,4,-2,-1,-4,-1,-1
case_trec2022_046,Qwen/Qwen2.5-7B-Instruct,4,3,5,5,4,5,5,5,5,5,-1,-2,0,0,-1
case_13,Qwen/Qwen2.5-3B-Instruct,2,2,2,4,2,3,3,4,5,4,-1,-1,-2,-1,-2
case_04,mistralai/Mistral-7B-Instruct-v0.3,2,2,1,3,2,5,5,5,5,5,-3,-3,-4,-2,-3
case_paraphrase_029,Qwen/Qwen2.5-3B-Instruct,2,3,1,2,2,5,5,5,5,5,-3,-2,-4,-3,-3
case_paraphrase_013,Qwen/Qwen2.5-3B-Instruct,2,2,1,2,1,4,3,5,5,4,-2,-1,-4,-3,-3
case_paraphrase_005,Qwen/Qwen2.5-7B-Instruct,2,3,2,5,2,4,4,5,5,5,-2,-1,-3,0,-3
case_trec2021_022,mistralai/Mistral-7B-Instruct-v0.3,5,5,5,5,4,3,3,2,5,4,2,2,3,0,0
case_13,meta-llama/Meta-Llama-3.1-8B-Instruct,2,2,2,4,3,3,3,4,5,4,-1,-1,-2,-1,-1
case_paraphrase_014,mistralai/Mistral-7B-Instruct-v0.3,2,3,1,2,2,4,4,5,5,4,-2,-1,-4,-3,-2
case_trec2021_065,Qwen/Qwen2.5-3B-Instruct,2,3,1,3,2,3,3,2,5,4,-1,0,-1,-2,-2
case_trec2022_034,meta-llama/Meta-Llama-3.1-8B-Instruct,2,3,2,4,3,4,4,5,5,4,-2,-1,-3,-1,-1
case_trec2021_008,Qwen/Qwen2.5-7B-Instruct,2,2,2,3,3,4,3,5,5,4,-2,-1,-3,-2,-1
case_trec2021_044,mistralai/Mistral-7B-Instruct-v0.3,2,2,1,4,2,4,4,5,5,4,-2,-2,-4,-1,-2
case_trec2021_025,Qwen/Qwen2.5-3B-Instruct,2,2,2,3,3,4,4,5,5,4,-2,-2,-3,-2,-1
case_04,Qwen/Qwen2.5-3B-Instruct,2,2,1,3,2,4,4,5,5,4,-2,-2,-4,-2,-2
case_trec2022_031,mistralai/Mistral-7B-Instruct-v0.3,1,2,2,2,2,2,2,3,4,3,-1,0,-1,-2,-1
case_14,mistralai/Mistral-7B-Instruct-v0.3,5,5,1,5,2,4,4,5,5,4,1,1,-4,0,-2
case_trec2022_045,mistralai/Mistral-7B-Instruct-v0.3,1,2,1,2,2,2,2,3,4,3,-1,0,-2,-2,-1
case_12,mistralai/Mistral-7B-Instruct-v0.3,2,2,2,5,2,4,4,5,5,4,-2,-2,-3,0,-2
case_trec2022_042,Qwen/Qwen2.5-3B-Instruct,1,1,1,2,2,2,2,2,4,3,-1,-1,-1,-2,-1
case_trec2021_022,Qwen/Qwen2.5-3B-Instruct,1,2,1,3,2,3,3,4,5,4,-2,-1,-3,-2,-2
case_trec2022_031,meta-llama/Meta-Llama-3.1-8B-Instruct,2,3,2,3,2,4,4,5,5,4,-2,-1,-3,-2,-2
case_trec2022_002,meta-llama/Meta-Llama-3.1-8B-Instruct,1,2,1,1,1,4,4,5,5,4,-3,-2,-4,-4,-3
case_trec2022_042,meta-llama/Meta-Llama-3.1-8B-Instruct,1,1,1,2,1,3,3,4,5,4,-2,-2,-3,-3,-3
case_12,Qwen/Qwen2.5-7B-Instruct,5,4,2,5,2,5,5,5,5,5,0,-1,-3,0,-3
case_paraphrase_011,Qwen/Qwen2.5-7B-Instruct,1,2,1,2,2,4,4,5,5,4,-3,-2,-4,-3,-2
