instance_id,trial_id,gold_label,gold_class,pred_decision,pred_class,parse_ok,gen_snippet
nli4pr_test_1239,NCT03327233,contradiction,mismatch,unlikely_match,mismatch,True,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, you do not seem to meet the eligibility criteria for this clinical trial. You are younger than 65 years old, which is a key requirement for participation in this study."",   ""supported_patient_facts"":"
nli4pr_test_813,NCT02748291,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you've shared, we think you might be eligible for the trial, but we need more details to confirm. Please let us know if you can provide your age and if you have any concerns about your health"
nli4pr_test_1174,NCT00382967,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your symptoms sound like essential tremor, which might fit the criteria for this trial. However, we need more information to confirm if you can participate."",   ""supported_patient_facts"": [""you are a 60 years old man"
nli4pr_test_534,NCT02429830,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems you might be eligible for the clinical trial, but we need to check a few things before we can confirm."",   ""supported_patient_facts"": [     ""you have typical symptoms o"
nli4pr_test_514,NCT02804789,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some of the eligibility criteria for this clinical trial, but there are some details we need to confirm before we can decide if you're eligible."",   ""supported_"
nli4pr_test_1526,NCT04441606,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, we think you might be eligible for our study, but we need more details to confirm. Please let us know if you have any additional information about your health history."",   ""supp"
nli4pr_test_522,NCT02580175,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you've shared, you seem to fit some of the criteria for this trial, but we need more details to confirm if you're eligible. Please let us know if you have any additional medical history or re"
nli4pr_test_274,NCT03053271,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to fit well with the inclusion criteria for this trial. However, we need more details about your medical history and some specific tests to confirm your eligibility. Pl"
nli4pr_test_494,NCT03060304,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you've shared, you seem to fit some of the criteria for this clinical trial, but we need more details to confirm your eligibility. Please let us know if you have any additional medical record"
nli4pr_test_65,NCT04366726,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Thank you for sharing your information. We need to check a few more details before we can decide if you're eligible for the trial."",   ""supported_patient_facts"": [     ""55-year-old white woman"",     ""BMI of 24""   ], "
nli4pr_test_672,NCT02234206,contradiction,mismatch,cannot_determine,undetermined,False,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Thank you for sharing your details. Based on the information you provided, you seem to fit some of the criteria for this clinical trial, but there are some missing pieces of information and unresolved requirements th"
nli4pr_test_979,NCT00287586,contradiction,mismatch,unlikely_match,mismatch,True,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, you do not seem to meet the eligibility criteria for this clinical trial. You are under 60 years old, which is one of the key inclusion criteria. Additionally, your testosterone level and GnRH levels"
nli4pr_test_722,NCT02984930,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to fit well with the inclusion criteria for this trial, as you have been diagnosed with GERD. However, we need more information about your health status, such as your m"
nli4pr_test_780,NCT03425214,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your roommate seems to have some symptoms that might be related to narcolepsy, like falling asleep quickly and sometimes feeling clumsy. However, we need more information to decide if she can join the trial. We don't"
nli4pr_test_1319,NCT00751660,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Thank you for sharing your health details. We need more information to decide if you can participate in our study. Please let us know if you have any additional information about your medical history or if you have c"
nli4pr_test_669,NCT00478491,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you've shared, it seems like you might be a good candidate for this clinical trial, but we need more details to confirm. Please let us know if you have any additional information."",   ""suppor"
nli4pr_test_351,NCT03401918,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, we need more details to decide if you can join our study. We know your age and that you had a high β-hCG level, which could mean you might be pregnant. However, we need to confi"
nli4pr_test_1516,NCT04303559,entailment,match,cannot_determine,undetermined,False,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some of the eligibility criteria for this study, but we need more details to fully determine if you can participate. Please let us know if you have any addition"
nli4pr_test_29,NCT00113568,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your symptoms and test results suggest you may be eligible for this trial, but we need more information to confirm."",   ""supported_patient_facts"": [""you have heavy periods"", ""you have a family history of heavy period"
nli4pr_test_30,NCT01348477,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, your symptoms sound like they might be related to an inguinal hernia, which is something this clinical trial is looking for. However, we need more details to confirm if you're e"
nli4pr_test_1547,NCT00462267,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your daughter seems to meet some of the eligibility criteria for this study, but we need more information to confirm if she qualifies. We will check if her BMI is at or above the 90th percentile and if she meets othe"
nli4pr_test_1569,NCT00800098,entailment,match,cannot_determine,undetermined,False,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Thank you for sharing your symptoms. Based on the information you've given, we think you might be a good candidate for our trial, but we need more details to confirm. Please let us know if you can provide any additio"
nli4pr_test_527,NCT00794105,entailment,match,likely_match,match,True,"{   ""decision"": ""likely_match"",   ""patient_facing_answer"": ""Based on your symptoms and the findings from your recent visit to the clinic, you seem to meet the inclusion criteria for this trial. However, we need to check a few more details before we can confirm your eligibility."",   ""supported_patien"
nli4pr_test_664,NCT04424004,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Thank you for sharing your symptoms. Based on the information you provided, we need more details to decide if you can join our study. We will check if you meet all the necessary requirements."",   ""supported_patient_f"
nli4pr_test_1157,NCT03360162,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to fit some criteria for the trial, but we need more details to confirm your eligibility. We will check if you meet all the necessary conditions."",   ""supported_patient"
nli4pr_test_820,NCT03474263,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the study, but we need to check a few things first. We'll need to confirm your age, ALS diagnosis, and if you're taking any medications t"
nli4pr_test_1024,NCT02156999,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Hello! You seem to fit the age and gender requirements for this trial. However, we need more information about your health conditions to proceed."",   ""supported_patient_facts"": [""you are a 55-year-old white woman"", """
nli4pr_test_324,NCT01477346,entailment,match,likely_match,match,True,"{   ""decision"": ""likely_match"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the trial. However, we need to check a few more details."",   ""supported_patient_facts"": [""you have a diagnosis of gout"", ""you had an acute attack of gout within "
nli4pr_test_1392,NCT00729183,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Hello! You seem to fit some of the criteria for this trial, but we need more information to confirm your eligibility. Please let us know if you have been postmenopausal for 3 years and if you have BMD scores at the t"
nli4pr_test_578,NCT00263250,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to fit the general age requirement for the trial, but we need more details about your current health condition and symptoms."",   ""supported_patient_facts"": [""you are 49"
nli4pr_test_59,NCT00090402,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the trial, but we need to check a few more details."",   ""supported_patient_facts"": [""you have been diagnosed with probable Alzheimer's Di"
nli4pr_test_1168,NCT00734279,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on your test results, you seem to be experiencing early puberty. However, we need more information to confirm if you meet all the eligibility criteria for this study."",   ""supported_patient_facts"": [""testes vol"
nli4pr_test_704,NCT04111341,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Thank you for sharing your symptoms and medical history. Based on what you've told me, you seem to fit well with the inclusion criteria for this trial, but we need to check a few more details before we can decide if "
nli4pr_test_819,NCT01780285,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to fit some criteria for the study, but we need more details to confirm your eligibility. Please let us know if you have any other health conditions or if you've had an"
nli4pr_test_787,NCT00458731,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your daughter seems to have a condition called dwarfism, which is diagnosed based on genetic testing showing a mutation in the FGFR3 gene. However, the clinical trial you mentioned requires specific medical condition"
nli4pr_test_707,NCT01953679,contradiction,mismatch,cannot_determine,undetermined,False,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to fit some parts of the eligibility criteria, but there are some details that are unclear or missing."",   ""supported_patient_facts"": [     ""you are 43 years old"",     "
nli4pr_test_886,NCT03493529,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to fit some parts of the trial's eligibility criteria, but we need more details to confirm if you can join the study."",   ""supported_patient_facts"": [""you are female"", "
nli4pr_test_615,NCT02883738,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your symptoms sound like essential tremor, which matches what we're looking for in this trial. However, we need to check a few things before we can decide if you can join."",   ""supported_patient_facts"": [""Subject has"
nli4pr_test_500,NCT04565106,contradiction,mismatch,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some of the criteria for this trial, but we need more details to confirm your eligibility."",   ""supported_patient_facts"": [""you were over 18 years old"", ""your P"
nli4pr_test_23,NCT03329235,entailment,match,cannot_determine,undetermined,False,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Thank you for sharing your health details. Based on what we know so far, you seem to fit well into the study's criteria for age and knee condition. However, we need more information about your knee swelling, the exac"
nli4pr_test_374,NCT00208325,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Thank you for sharing your health details. Based on what you've told me, we need more information to decide if you might be eligible for our study. Could you please provide details about your medical history, includi"
nli4pr_test_32,NCT04710758,entailment,match,cannot_determine,undetermined,False,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""It seems like you might be eligible for the trial, but we need more information to confirm. Please let us know if you have any questions or if there's anything else we can help with."",   ""supported_patient_facts"": ["""
nli4pr_test_938,NCT03942692,entailment,match,possible_match_insufficient_evidence,match,True,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your daughter seems to have had an anaphylactic reaction, which might qualify her for this study. However, we need more information to confirm if she meets all the criteria."",   ""supported_patient_facts"": [""anaphylac"
