query_id,doc_id,rank_bge,bge_score
1,NCT00003537,1,0.5927734375
1,NCT01502241,2,0.431396484375
1,NCT00003470,3,0.1910400390625
1,NCT01663012,4,0.188232421875
1,NCT00003471,5,-0.0693359375
1,NCT00001417,6,-0.08416748046875
1,NCT01012609,7,-0.1431884765625
1,NCT00004024,8,-0.152587890625
1,NCT03763422,9,-0.2320556640625
1,NCT04047303,10,-0.25244140625
1,NCT01466686,11,-0.353515625
1,NCT04430842,12,-0.380615234375
1,NCT03732482,13,-0.406494140625
1,NCT02781792,14,-0.4462890625
1,NCT00003775,15,-0.453125
1,NCT00002569,16,-0.58837890625
1,NCT00004259,17,-0.5888671875
1,NCT00001364,18,-0.59765625
1,NCT03906448,19,-0.60546875
1,NCT03596086,20,-0.61865234375
1,NCT03705351,21,-0.62060546875
1,NCT00783393,22,-0.64794921875
1,NCT03603405,23,-0.6962890625
1,NCT00362570,24,-0.74072265625
1,NCT03528642,25,-0.78955078125
1,NCT00626990,26,-0.81396484375
1,NCT00003185,27,-0.82275390625
1,NCT03332355,28,-0.8388671875
1,NCT00978458,29,-0.853515625
1,NCT02284945,30,-0.86572265625
1,NCT00003621,31,-0.86669921875
1,NCT01180816,32,-0.8876953125
1,NCT02272270,33,-0.9130859375
1,NCT00492141,34,-0.93603515625
1,NCT02099487,35,-0.9560546875
1,NCT01308632,36,-0.97900390625
1,NCT04254419,37,-0.99658203125
1,NCT00887146,38,-1.021484375
1,NCT03018288,39,-1.0224609375
1,NCT00003916,40,-1.0283203125
1,NCT03597451,41,-1.033203125
1,NCT00360828,42,-1.0341796875
1,NCT00003842,43,-1.044921875
1,NCT04557410,44,-1.05859375
1,NCT01711580,45,-1.05859375
1,NCT01026493,46,-1.0615234375
1,NCT00606008,47,-1.087890625
1,NCT01721577,48,-1.09765625
1,NCT00999622,49,-1.109375
1,NCT02167633,50,-1.1103515625
1,NCT00990652,51,-1.126953125
1,NCT02464761,52,-1.130859375
1,NCT00643591,53,-1.1328125
1,NCT00869401,54,-1.1533203125
1,NCT00968240,55,-1.1552734375
1,NCT00004080,56,-1.1552734375
1,NCT00597402,57,-1.16015625
1,NCT00100802,58,-1.166015625
1,NCT00841555,59,-1.16796875
1,NCT00003375,60,-1.1748046875
1,NCT00003176,61,-1.1767578125
1,NCT00607113,62,-1.1787109375
1,NCT00004868,63,-1.1796875
1,NCT00561652,64,-1.203125
1,NCT00238264,65,-1.23046875
1,NCT03234595,66,-1.2333984375
1,NCT00492687,67,-1.2333984375
1,NCT00473408,68,-1.2626953125
1,NCT01472731,69,-1.2685546875
1,NCT00058123,70,-1.27734375
1,NCT00923117,71,-1.2841796875
1,NCT03849430,72,-1.28515625
1,NCT00256243,73,-1.2900390625
1,NCT04086615,74,-1.2958984375
1,NCT03262454,75,-1.3037109375
1,NCT03633552,76,-1.3046875
1,NCT01534845,77,-1.310546875
1,NCT00761280,78,-1.3232421875
1,NCT00276640,79,-1.333984375
1,NCT01188096,80,-1.3408203125
1,NCT03230279,81,-1.345703125
1,NCT00553748,82,-1.357421875
1,NCT00508456,83,-1.3583984375
1,NCT00527761,84,-1.36328125
1,NCT00922974,85,-1.36328125
1,NCT00613093,86,-1.369140625
1,NCT02689609,87,-1.3701171875
1,NCT03480867,88,-1.37109375
1,NCT03068520,89,-1.3798828125
1,NCT00114140,90,-1.380859375
1,NCT01269853,91,-1.3916015625
1,NCT00262730,92,-1.39453125
1,NCT00780988,93,-1.3984375
1,NCT00006474,94,-1.412109375
1,NCT03417882,95,-1.416015625
1,NCT01231061,96,-1.4208984375
1,NCT00275067,97,-1.42578125
1,NCT01004874,98,-1.4326171875
1,NCT00486603,99,-1.44140625
1,NCT03093350,100,-1.4453125
1,NCT00004147,101,-1.47265625
1,NCT01110876,102,-1.478515625
1,NCT03450850,103,-1.4794921875
1,NCT00004017,104,-1.4853515625
1,NCT01386710,105,-1.4892578125
1,NCT00526812,106,-1.494140625
1,NCT00412542,107,-1.4970703125
1,NCT02773966,108,-1.5009765625
1,NCT04689321,109,-1.517578125
1,NCT02663271,110,-1.5263671875
1,NCT02622620,111,-1.5263671875
1,NCT02330991,112,-1.5341796875
1,NCT01403610,113,-1.5390625
1,NCT00505635,114,-1.5390625
1,NCT00254592,115,-1.5400390625
1,NCT00052455,116,-1.5458984375
1,NCT00527657,117,-1.548828125
1,NCT00667394,118,-1.548828125
1,NCT04757662,119,-1.5634765625
1,NCT03275506,120,-1.5751953125
1,NCT00574964,121,-1.578125
1,NCT02661282,122,-1.5791015625
1,NCT00751270,123,-1.58203125
1,NCT00720564,124,-1.583984375
1,NCT01288235,125,-1.5888671875
1,NCT01639612,126,-1.591796875
1,NCT00036972,127,-1.6005859375
1,NCT01290562,128,-1.6025390625
1,NCT03224104,129,-1.603515625
1,NCT01285778,130,-1.6064453125
1,NCT03022578,131,-1.6162109375
1,NCT00734864,132,-1.619140625
1,NCT00115739,133,-1.6201171875
1,NCT00734682,134,-1.625
1,NCT00089427,135,-1.62890625
1,NCT03291119,136,-1.640625
1,NCT03470766,137,-1.646484375
1,NCT01507506,138,-1.6474609375
1,NCT02145286,139,-1.6484375
1,NCT00425503,140,-1.6484375
1,NCT01920191,141,-1.6484375
1,NCT00431561,142,-1.6630859375
1,NCT00003387,143,-1.6640625
1,NCT03665545,144,-1.666015625
1,NCT03011671,145,-1.677734375
1,NCT00936052,146,-1.681640625
1,NCT00006093,147,-1.681640625
1,NCT00112736,148,-1.68359375
1,NCT03556384,149,-1.6845703125
1,NCT01567787,150,-1.6884765625
1,NCT03869242,151,-1.69140625
1,NCT04789109,152,-1.7001953125
1,NCT00376103,153,-1.7001953125
1,NCT00270309,154,-1.701171875
1,NCT03743740,155,-1.705078125
1,NCT00512460,156,-1.7158203125
1,NCT02658656,157,-1.7158203125
1,NCT02014844,158,-1.72265625
1,NCT03154996,159,-1.7412109375
1,NCT00006024,160,-1.744140625
1,NCT00062504,161,-1.75
1,NCT02041169,162,-1.755859375
1,NCT04197934,163,-1.76171875
1,NCT01235845,164,-1.7626953125
1,NCT03023696,165,-1.7626953125
1,NCT01833273,166,-1.763671875
1,NCT01238237,167,-1.767578125
1,NCT00492817,168,-1.7783203125
1,NCT00548938,169,-1.78125
1,NCT03204825,170,-1.7880859375
1,NCT00085254,171,-1.8017578125
1,NCT03393000,172,-1.802734375
1,NCT00243022,173,-1.8076171875
1,NCT00354068,174,-1.8095703125
1,NCT00114309,175,-1.8095703125
1,NCT01784393,176,-1.814453125
1,NCT02713269,177,-1.81640625
1,NCT01280864,178,-1.8173828125
1,NCT02022644,179,-1.82421875
1,NCT01811992,180,-1.8310546875
1,NCT03262636,181,-1.833984375
1,NCT02789995,182,-1.8427734375
1,NCT00301418,183,-1.8486328125
1,NCT00858741,184,-1.8515625
1,NCT04570943,185,-1.8544921875
1,NCT02478099,186,-1.8544921875
1,NCT01781403,187,-1.857421875
1,NCT00392886,188,-1.8623046875
1,NCT00006268,189,-1.86328125
1,NCT00272870,190,-1.8662109375
1,NCT01913782,191,-1.8701171875
1,NCT00027625,192,-1.87109375
1,NCT00895960,193,-1.8798828125
1,NCT00352521,194,-1.8798828125
1,NCT00573989,195,-1.8955078125
1,NCT00590681,196,-1.8984375
1,NCT00074646,197,-1.908203125
1,NCT01812603,198,-1.9140625
1,NCT04241250,199,-1.9140625
1,NCT00256425,200,-1.919921875
1,NCT03213002,201,-1.9267578125
1,NCT03615976,202,-1.927734375
1,NCT03609424,203,-1.9287109375
1,NCT02871843,204,-1.9443359375
1,NCT00003574,205,-1.94921875
1,NCT00504660,206,-1.9501953125
1,NCT00979173,207,-1.9541015625
1,NCT01520870,208,-1.9677734375
1,NCT01062399,209,-1.9716796875
1,NCT04632290,210,-1.9716796875
1,NCT01826058,211,-1.974609375
1,NCT01022918,212,-1.984375
1,NCT02239861,213,-1.984375
1,NCT02899858,214,-1.9873046875
1,NCT00157703,215,-1.9912109375
1,NCT01849146,216,-1.994140625
1,NCT00007345,217,-1.9951171875
1,NCT00002944,218,-1.9970703125
1,NCT02942264,219,-2.0
1,NCT00285649,220,-2.009765625
1,NCT04135807,221,-2.009765625
1,NCT00078988,222,-2.01953125
1,NCT00006025,223,-2.0234375
1,NCT03404362,224,-2.0234375
1,NCT01281982,225,-2.02734375
1,NCT00310154,226,-2.02734375
1,NCT01266603,227,-2.029296875
1,NCT02982291,228,-2.033203125
1,NCT04801147,229,-2.04296875
1,NCT01339039,230,-2.052734375
1,NCT00553150,231,-2.052734375
1,NCT00278278,232,-2.0546875
1,NCT03904628,233,-2.056640625
1,NCT00036894,234,-2.05859375
1,NCT00028795,235,-2.05859375
1,NCT00002463,236,-2.0625
1,NCT00005637,237,-2.068359375
1,NCT04363164,238,-2.0703125
1,NCT00983541,239,-2.072265625
1,NCT00115440,240,-2.07421875
1,NCT02761265,241,-2.078125
1,NCT00879437,242,-2.08203125
1,NCT00048880,243,-2.0859375
1,NCT00508443,244,-2.087890625
1,NCT00389090,245,-2.087890625
1,NCT03345576,246,-2.087890625
1,NCT00272350,247,-2.09765625
1,NCT00411619,248,-2.10546875
1,NCT04187092,249,-2.109375
1,NCT04273893,250,-2.11328125
1,NCT00079092,251,-2.123046875
1,NCT00533169,252,-2.123046875
1,NCT03825432,253,-2.125
1,NCT01392209,254,-2.125
1,NCT02566616,255,-2.12890625
1,NCT00826241,256,-2.130859375
1,NCT04406987,257,-2.130859375
1,NCT01597791,258,-2.1328125
1,NCT00704080,259,-2.138671875
