case_id,source,category,gold_nct,selected_doc,backbone,decision,parse_ok,latency_sec,answer_chars,missing_facts_n,unresolved_reqs_n,cross_trial_leak_n,gen_snippet
case_trec2021_022,trec2021,possible_match_insufficient_evidence,NCT00172822,NCT03791229,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.574,173,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet some of the eligibility criteria for the clinical trial. However, we need more details to confirm your e"
case_trec2022_002,trec2022,possible_match_insufficient_evidence,,NCT01166412,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.162,0,1,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facts"": [     ""A 32-year-old woman with a last menstrual period 10 weeks ago, regular menses lasting for 6 days and repeating every 29 days."",     ""She has multiple male par"
case_paraphrase_011,paraphrase_trec2021,explanation_request,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.19,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""This study aims to see if adding a medication called Revlimid to the current treatments for multiple myeloma can help more people get better and cause fewer"
case_paraphrase_005,paraphrase_trec2021,consent_understanding,,NCT03902262,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.179,196,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before we can decide if you're eligible for this trial, we need to check a few things with you. We'll ask about your medical history and do some tests to ma"
case_trec2021_036,trec2021,possible_match_insufficient_evidence,NCT00005381,NCT03158805,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.282,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some of the eligibility criteria for this clinical trial, but we need more details to confirm your e"
case_trec2022_045,trec2022,possible_match_insufficient_evidence,,NCT00314431,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.439,393,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you might be eligible for the clinical trial, but we need more details to confirm. You have Down syndrome, which"
case_trec2022_031,trec2022,possible_match_insufficient_evidence,,NCT02789592,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.493,129,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems like you might be eligible for the clinical trial, but we need to check a few things."",   ""supported_patient_fac"
case_trec2021_008,trec2021,possible_match_insufficient_evidence,NCT00005579,NCT01604031,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.803,147,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to be a suitable candidate for this clinical trial. However, there are some details we need to confirm."",   ""sup"
case_paraphrase_029,paraphrase_trec2022,cannot_determine,,NCT03829631,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.271,397,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on your symptoms, you might be eligible for the clinical trial if you have benign low back pain and have not had a confirmed cause of your pain, such "
case_trec2021_059,trec2021,possible_match_insufficient_evidence,NCT00001909,NCT00819676,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.116,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial, but we need to check a few things."",   ""supported_patient"
case_01,handcrafted,possible_match_insufficient_evidence,,NCT00543023,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.507,147,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet most of the eligibility criteria for this study, but there are some details we need to confirm."",   ""sup"
case_13,handcrafted,consent_understanding,,NCT01710072,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.082,241,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""To join this study, you will need to provide certain information from your medical records, such as details about your MRI scans and any medications you tak"
case_trec2021_014,trec2021,possible_match_insufficient_evidence,NCT00037973,NCT01892579,Qwen/Qwen2.5-3B-Instruct,unlikely_match,True,9.008,285,2,1,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, you do not seem to be eligible for this clinical trial. The trial focuses on treating agitation and neuropsychiatric symptoms in individuals wi"
case_trec2021_065,trec2021,possible_match_insufficient_evidence,NCT00005754,NCT00419562,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.257,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might not be eligible for this specific clinical trial. You need to have a proband with Type 1 diab"
case_14,handcrafted,teachback_style,,NCT00816998,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.18,222,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study requires a specific type of wrist fracture called a 'closed unstable distal radius fracture' to participate. This means you need to have a broken "
case_trec2021_033,trec2021,possible_match_insufficient_evidence,NCT00006146,NCT00922233,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.916,150,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial. However, there are some details we need to confirm."",   """
case_trec2021_012,trec2021,possible_match_insufficient_evidence,NCT00001314,NCT03975998,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.142,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some eligibility criteria for the study, but there are some details we need to confirm."",   ""support"
case_04,handcrafted,cannot_determine,,NCT00800644,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,7.728,130,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you might be eligible to participate in this study, but we need to check a few things."",   ""supported_patient_fa"
case_05,handcrafted,possible_match_insufficient_evidence,,NCT02584972,Qwen/Qwen2.5-3B-Instruct,unlikely_match,True,6.458,227,2,0,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, you do not seem to fit the criteria for this study. The study is specifically for children aged 6-12 years old with Autism Spectrum Disorder (A"
case_paraphrase_015,paraphrase_trec2021,consent_understanding,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.616,239,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you can join our clinical trial, we need to check a few things with you. We'll make sure your condition matches what we're looking for, and we'll als"
case_12,handcrafted,consent_understanding,,NCT04471363,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.423,109,5,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before we can say you are definitively eligible, there are some things the study team still needs to confirm."",   ""supported_patient_facts"": [""You are a can"
case_paraphrase_014,paraphrase_trec2021,cannot_determine,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.288,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial, but there are some details we need to confirm. You have m"
case_trec2022_042,trec2022,possible_match_insufficient_evidence,,NCT02638922,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.35,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you may be eligible for the clinical trial. However, there are some details missing or unresolved that need furt"
case_paraphrase_020,paraphrase_trec2022,consent_understanding,,NCT04530149,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.812,123,4,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you can join the clinical trial, the study team will need to confirm several things about your health and condition."",   ""supported_patient_facts"": ["
case_trec2022_034,trec2022,possible_match_insufficient_evidence,,NCT00119704,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.061,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial. However, we need more details to confirm. Please let us k"
case_trec2022_001,trec2022,possible_match_insufficient_evidence,,NCT00392756,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.395,194,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you might be eligible for the study, but we need more details to confirm. Please check if you meet the age requirement an"
case_trec2022_046,trec2022,possible_match_insufficient_evidence,,NCT04822701,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.221,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems you might be eligible for the clinical trial, but we need to confirm a few details."",   ""supported_patient_f"
case_trec2021_019,trec2021,possible_match_insufficient_evidence,NCT00000531,NCT00487279,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.313,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you might be eligible for the clinical trial, but we need more details to confirm. Please check with your health"
case_trec2022_005,trec2022,possible_match_insufficient_evidence,,NCT04530149,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.216,169,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you may not be eligible for this clinical trial. You need to meet specific criteria related to rib fractures and"
case_paraphrase_030,paraphrase_trec2022,consent_understanding,,NCT03829631,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.292,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you agree to participate, the study team will confirm your eligibility by asking questions and checking information. They will make sure you meet the"
case_trec2021_022,trec2021,possible_match_insufficient_evidence,NCT00172822,NCT03791229,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,12.841,100,0,1,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, you do not meet the eligibility criteria for this clinical trial."",   ""supported_patient_facts"": [],   ""missing_patient_facts"": [],   ""unresolv"
case_trec2022_002,trec2022,possible_match_insufficient_evidence,,NCT01166412,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,22.859,166,3,1,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but there are some unresolved requirements and missing facts that need to be "
case_paraphrase_011,paraphrase_trec2021,explanation_request,,NCT00843310,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.223,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your situation involves multiple myeloma with recurrent disease and systemic amyloidosis, which aligns with the study's focus on patients who are not eligib"
case_paraphrase_005,paraphrase_trec2021,consent_understanding,,NCT03902262,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,20.327,243,2,1,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study team will need to confirm your eligibility based on the information you have provided. They will be looking at several factors including your diag"
case_trec2021_036,trec2021,possible_match_insufficient_evidence,NCT00005381,NCT03158805,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,23.351,165,4,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, there are some aspects that align with the study's inclusion criteria, but we need more details to determine your eli"
case_trec2022_045,trec2022,possible_match_insufficient_evidence,,NCT00314431,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,14.562,115,0,0,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, it does not seem like you meet the eligibility criteria for this clinical trial."",   ""supported_patient_facts"": [""The infant has Down syndrome"""
case_trec2022_031,trec2022,possible_match_insufficient_evidence,,NCT02789592,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,25.986,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems like you might be eligible for the clinical trial, but we need more details to confirm."",   ""supported_patient_f"
case_trec2021_008,trec2021,possible_match_insufficient_evidence,NCT00005579,NCT01604031,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,20.249,147,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your situation shows some alignment with the study's inclusion criteria, but there are unresolved details and requirements that need clarification."",   ""sup"
case_paraphrase_029,paraphrase_trec2022,cannot_determine,,NCT03829631,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,17.999,129,2,3,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, your symptoms may not align perfectly with the inclusion criteria for this clinical trial."",   ""supported_patient_facts"": [""low back pain"","
case_trec2021_059,trec2021,possible_match_insufficient_evidence,NCT00001909,NCT00819676,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,25.961,146,2,4,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but we need to confirm some details before making a final decision."",   ""supp"
case_01,handcrafted,possible_match_insufficient_evidence,,NCT00543023,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,20.761,110,3,1,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you may be eligible for the study, but we need to confirm some details."",   ""supported_patient_facts"": [""55-year-old "
case_13,handcrafted,consent_understanding,,NCT01710072,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,16.042,203,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, there are some key details that need to be confirmed before determining if you are eligible for the study. Please provide"
case_trec2021_014,trec2021,possible_match_insufficient_evidence,NCT00037973,NCT01892579,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,20.926,132,4,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your situation shows some characteristics that might align with the study, but there are unresolved details that need clarification."",   ""supported_patient_"
case_trec2021_065,trec2021,possible_match_insufficient_evidence,NCT00005754,NCT00419562,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,23.245,166,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but there are some unresolved requirements and missing facts that need to be "
case_14,handcrafted,teachback_style,,NCT00816998,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.076,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it appears that the study requires evidence of a specific type of fracture, namely a closed unstable distal radius fractu"
case_trec2021_033,trec2021,possible_match_insufficient_evidence,NCT00006146,NCT00922233,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,19.858,157,3,1,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the study, but there are some unresolved requirements and missing facts that need to be confirmed"
case_trec2021_012,trec2021,possible_match_insufficient_evidence,NCT00001314,NCT03975998,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,22.038,168,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but there are some unresolved requirements and missing details that need to b"
case_04,handcrafted,cannot_determine,,NCT00800644,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,21.251,199,7,5,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, we think you might be able to join the study, but we need more details to confirm. Please talk to your doctor about w"
case_05,handcrafted,possible_match_insufficient_evidence,,NCT02584972,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,13.992,98,2,2,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, it does not seem like you would be eligible for this study."",   ""supported_patient_facts"": [""70 years old"", ""can walk independently""],   ""m"
case_paraphrase_015,paraphrase_trec2021,consent_understanding,,NCT00843310,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.477,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study team will need to confirm several details about your medical history and current condition before making a final decision."",   ""supported_patient_"
case_12,handcrafted,consent_understanding,,NCT04471363,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,18.009,108,1,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study team needs to confirm several details about your situation before determining if you are eligible."",   ""supported_patient_facts"": [""I am a cancer "
