backbone,judge,dim,signal,spearman_rho,spearman_p
Qwen/Qwen2.5-3B-Instruct,sonnet,factuality,dominance_ratio,0.060197356816079906,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,factuality,trial_score_share,-0.0609703844579228,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,factuality,raw_max_cross,-0.13647873710105574,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,factuality,best_rank,-0.1445458802755854,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,groundedness,dominance_ratio,0.11837917893608987,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,groundedness,trial_score_share,0.1512093405016481,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,groundedness,raw_max_cross,0.05018980600316933,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,groundedness,best_rank,0.09073386512471945,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,abstain_appropriateness,dominance_ratio,0.02939624718358952,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,abstain_appropriateness,trial_score_share,0.15857389984996348,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,abstain_appropriateness,raw_max_cross,0.11923167286010558,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,abstain_appropriateness,best_rank,-0.14909629494385113,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,safety,dominance_ratio,0.13294341127389783,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,safety,trial_score_share,-0.13891676014919677,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,safety,raw_max_cross,0.09078629732188151,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,safety,best_rank,-0.09203364520115553,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,patient_utility,dominance_ratio,0.13484904437546255,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,patient_utility,trial_score_share,0.02868220268220026,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,patient_utility,raw_max_cross,-0.05109507612266302,0.15
Qwen/Qwen2.5-3B-Instruct,sonnet,patient_utility,best_rank,-0.01051321700477273,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,factuality,dominance_ratio,-0.1406545085219972,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,factuality,trial_score_share,-0.1089865187551439,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,factuality,raw_max_cross,0.07130605684889799,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,factuality,best_rank,0.0635725388195025,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,groundedness,dominance_ratio,0.05307708678881376,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,groundedness,trial_score_share,-0.023386407093578476,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,groundedness,raw_max_cross,0.17907927881043958,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,groundedness,best_rank,0.17367566179615587,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,abstain_appropriateness,dominance_ratio,0.07622885487862924,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,abstain_appropriateness,trial_score_share,0.06465156116837936,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,abstain_appropriateness,raw_max_cross,0.0771874210884102,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,abstain_appropriateness,best_rank,-0.02165593008689576,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,safety,dominance_ratio,-0.10541815334260429,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,safety,trial_score_share,0.08809115226404693,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,safety,raw_max_cross,0.023366926416989536,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,safety,best_rank,-0.04762018106554464,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,patient_utility,dominance_ratio,0.010325668414490369,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,patient_utility,trial_score_share,0.14353098533517003,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,patient_utility,raw_max_cross,0.15823436026556234,0.15
Qwen/Qwen2.5-3B-Instruct,gpt4o,patient_utility,best_rank,-0.031927585086006835,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,factuality,dominance_ratio,0.038604844140821104,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,factuality,trial_score_share,-0.043783100944939105,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,factuality,raw_max_cross,0.04611900996589993,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,factuality,best_rank,-0.038489295582646035,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,groundedness,dominance_ratio,-0.02076572982570679,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,groundedness,trial_score_share,0.1437905361615814,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,groundedness,raw_max_cross,-0.0750379941339847,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,groundedness,best_rank,0.05565175774639397,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,abstain_appropriateness,dominance_ratio,-0.12227493661781301,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,abstain_appropriateness,trial_score_share,0.12477256872562123,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,abstain_appropriateness,raw_max_cross,0.10974244147126547,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,abstain_appropriateness,best_rank,-0.07100808381232579,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,safety,dominance_ratio,0.1392397961675322,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,safety,trial_score_share,-0.13067254851428586,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,safety,raw_max_cross,-0.03908137001993209,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,safety,best_rank,-0.10040777592470311,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,patient_utility,dominance_ratio,-0.0013880090057352967,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,patient_utility,trial_score_share,0.11278700919480708,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,patient_utility,raw_max_cross,-0.07388807103206335,0.15
Qwen/Qwen2.5-7B-Instruct,sonnet,patient_utility,best_rank,-0.13283297064874483,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,factuality,dominance_ratio,-0.01649789285889569,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,factuality,trial_score_share,-0.08449069531194574,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,factuality,raw_max_cross,-0.12005149494568977,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,factuality,best_rank,0.041509687375660714,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,groundedness,dominance_ratio,-0.051430276169755554,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,groundedness,trial_score_share,0.07175830972559857,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,groundedness,raw_max_cross,-0.08415990349048962,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,groundedness,best_rank,0.16089732646714425,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,abstain_appropriateness,dominance_ratio,-0.029513644479206583,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,abstain_appropriateness,trial_score_share,-0.11518655774182426,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,abstain_appropriateness,raw_max_cross,0.05760569000810403,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,abstain_appropriateness,best_rank,0.15596100251239622,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,safety,dominance_ratio,-0.004675538943791302,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,safety,trial_score_share,0.16501486291794323,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,safety,raw_max_cross,0.01496561851692349,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,safety,best_rank,-0.009674553799805086,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,patient_utility,dominance_ratio,0.054670439165074664,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,patient_utility,trial_score_share,0.17838184672765692,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,patient_utility,raw_max_cross,0.1631514127294625,0.15
Qwen/Qwen2.5-7B-Instruct,gpt4o,patient_utility,best_rank,0.0018148959720016844,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,factuality,dominance_ratio,0.10005051895173614,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,factuality,trial_score_share,0.014149489510914243,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,factuality,raw_max_cross,0.36,0.01
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,factuality,best_rank,0.10930928123555647,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,groundedness,dominance_ratio,-0.013163569712628637,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,groundedness,trial_score_share,0.09237957869028066,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,groundedness,raw_max_cross,0.08467714973661741,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,groundedness,best_rank,0.1575796965824148,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,abstain_appropriateness,dominance_ratio,-0.1120722310173013,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,abstain_appropriateness,trial_score_share,0.09057498863518207,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,abstain_appropriateness,raw_max_cross,0.15604989644610476,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,abstain_appropriateness,best_rank,0.1694156426751333,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,safety,dominance_ratio,-0.14514691936142812,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,safety,trial_score_share,0.13500122978103998,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,safety,raw_max_cross,0.1737943632218936,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,safety,best_rank,0.16587935927161793,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,patient_utility,dominance_ratio,-0.10090787596327569,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,patient_utility,trial_score_share,0.17096750856157508,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,patient_utility,raw_max_cross,0.1436787333877718,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,sonnet,patient_utility,best_rank,0.12138336308921319,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,factuality,dominance_ratio,0.008396014856584616,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,factuality,trial_score_share,-0.07331693651902974,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,factuality,raw_max_cross,0.36,0.01
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,factuality,best_rank,0.15476495272854493,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,groundedness,dominance_ratio,-0.06217701014354346,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,groundedness,trial_score_share,0.027848354515321666,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,groundedness,raw_max_cross,-0.003891566438404631,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,groundedness,best_rank,0.1572357142737811,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,abstain_appropriateness,dominance_ratio,-0.13663146530781656,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,abstain_appropriateness,trial_score_share,0.09156204456666503,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,abstain_appropriateness,raw_max_cross,0.05274317149316887,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,abstain_appropriateness,best_rank,-0.14063942951253805,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,safety,dominance_ratio,0.08734252503282428,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,safety,trial_score_share,-0.14472272925722124,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,safety,raw_max_cross,0.10012383077762124,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,safety,best_rank,0.019210378676485756,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,patient_utility,dominance_ratio,0.156604392863012,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,patient_utility,trial_score_share,-0.12819277608105534,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,patient_utility,raw_max_cross,0.12763470227208643,0.15
meta-llama/Meta-Llama-3.1-8B-Instruct,gpt4o,patient_utility,best_rank,-0.12799229710685653,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,factuality,dominance_ratio,-0.0363777069946387,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,factuality,trial_score_share,-0.008001418457215026,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,factuality,raw_max_cross,0.51,0.01
mistralai/Mistral-7B-Instruct-v0.3,sonnet,factuality,best_rank,0.03553650793539079,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,groundedness,dominance_ratio,-0.06457468425359236,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,groundedness,trial_score_share,-0.07024701434886617,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,groundedness,raw_max_cross,0.53,0.01
mistralai/Mistral-7B-Instruct-v0.3,sonnet,groundedness,best_rank,-0.07546308862228296,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,abstain_appropriateness,dominance_ratio,-0.10889694707435645,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,abstain_appropriateness,trial_score_share,-0.0548508501874994,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,abstain_appropriateness,raw_max_cross,0.0434206113882018,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,abstain_appropriateness,best_rank,0.03284986571717838,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,safety,dominance_ratio,0.11720455605121663,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,safety,trial_score_share,0.03495706416204131,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,safety,raw_max_cross,-0.05482099923770055,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,safety,best_rank,-0.013744206915305424,0.15
