judge,case_id,backbone,semantic_leak
gpt4o,case_trec2022_027,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_050,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_022,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_05,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_021,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2022_037,claude-sonnet-4-5-20250929,1
gpt4o,case_trec2021_035,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_013,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_012,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_048,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_12,gpt-4o,0
gpt4o,case_paraphrase_012,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_006,gpt-4o,0
gpt4o,case_trec2021_033,Qwen__Qwen2.5-7B-Instruct,1
gpt4o,case_trec2022_009,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_020,gpt-4o,0
gpt4o,case_05,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2022_045,gpt-4o,0
gpt4o,case_paraphrase_016,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_030,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_032,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_034,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_024,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_trec2021_058,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_073,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_048,gpt-4o,0
gpt4o,case_trec2022_031,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_044,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_034,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_11,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_029,gpt-4o,0
gpt4o,case_trec2021_028,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_005,gpt-4o,0
gpt4o,case_trec2022_014,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_049,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2022_009,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_032,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_11,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_059,meta-llama__Meta-Llama-3.1-8B-Instruct,1
gpt4o,case_trec2021_042,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_024,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_027,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_031,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_037,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_033,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_033,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_025,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_013,claude-sonnet-4-5-20250929,1
gpt4o,case_trec2022_031,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_048,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_014,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_02,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_009,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_01,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_013,gpt-4o,0
gpt4o,case_trec2021_057,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_030,gpt-4o,0
gpt4o,case_trec2021_048,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_073,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_006,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_050,meta-llama__Meta-Llama-3.1-8B-Instruct,0
