case_id,backbone,system,regime,flag
case_02,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,consensus
case_trec2021_061,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,consensus
case_03,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,either
case_04,Qwen/Qwen2.5-7B-Instruct,V-final,accept,either
case_paraphrase_004,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,either
case_paraphrase_011,Qwen/Qwen2.5-7B-Instruct,V-final,accept,either
case_paraphrase_021,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,either
case_trec2021_025,Qwen/Qwen2.5-7B-Instruct,V-final,accept,clean
case_trec2022_002,Qwen/Qwen2.5-7B-Instruct,V-final,accept,clean
case_trec2022_031,Qwen/Qwen2.5-7B-Instruct,V-final,accept,clean
case_01,Qwen/Qwen2.5-7B-Instruct,V-final,accept,clean
case_paraphrase_010,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,clean
case_trec2022_007,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,clean
case_trec2021_053,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,clean
case_paraphrase_001,Qwen/Qwen2.5-7B-Instruct,V-final,abstain,clean
case_02,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,consensus
case_03,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,consensus
case_paraphrase_002,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,consensus
case_trec2021_013,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,consensus
case_06,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,either
case_paraphrase_004,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,either
case_paraphrase_014,Qwen/Qwen2.5-3B-Instruct,V-final,accept,either
case_trec2021_025,Qwen/Qwen2.5-3B-Instruct,V-final,accept,clean
case_paraphrase_020,Qwen/Qwen2.5-3B-Instruct,V-final,accept,clean
case_04,Qwen/Qwen2.5-3B-Instruct,V-final,accept,clean
case_trec2021_065,Qwen/Qwen2.5-3B-Instruct,V-final,accept,clean
case_trec2022_006,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,clean
case_11,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,clean
case_paraphrase_016,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,clean
case_trec2022_033,Qwen/Qwen2.5-3B-Instruct,V-final,abstain,clean
