backbone,tag,count,share
Qwen/Qwen2.5-3B-Instruct,format_break,15,0.06578947368421052
Qwen/Qwen2.5-3B-Instruct,hallucination,144,0.631578947368421
Qwen/Qwen2.5-3B-Instruct,jargon,8,0.03508771929824561
Qwen/Qwen2.5-3B-Instruct,missing_detail,1,0.0043859649122807015
Qwen/Qwen2.5-3B-Instruct,none,42,0.18421052631578946
Qwen/Qwen2.5-3B-Instruct,overabstain,94,0.41228070175438597
Qwen/Qwen2.5-3B-Instruct,overcommit,18,0.07894736842105263
Qwen/Qwen2.5-3B-Instruct,patient_utility,0,0.0
Qwen/Qwen2.5-3B-Instruct,patient_utility_issue,1,0.0043859649122807015
Qwen/Qwen2.5-3B-Instruct,safety,4,0.017543859649122806
Qwen/Qwen2.5-3B-Instruct,safety_issue,1,0.0043859649122807015
Qwen/Qwen2.5-3B-Instruct,ungrounded,169,0.7412280701754386
Qwen/Qwen2.5-7B-Instruct,format_break,11,0.04824561403508772
Qwen/Qwen2.5-7B-Instruct,hallucination,79,0.34649122807017546
Qwen/Qwen2.5-7B-Instruct,jargon,8,0.03508771929824561
Qwen/Qwen2.5-7B-Instruct,missing_detail,0,0.0
Qwen/Qwen2.5-7B-Instruct,none,109,0.4780701754385965
Qwen/Qwen2.5-7B-Instruct,overabstain,49,0.2149122807017544
Qwen/Qwen2.5-7B-Instruct,overcommit,6,0.02631578947368421
Qwen/Qwen2.5-7B-Instruct,patient_utility,2,0.008771929824561403
Qwen/Qwen2.5-7B-Instruct,patient_utility_issue,0,0.0
Qwen/Qwen2.5-7B-Instruct,safety,2,0.008771929824561403
Qwen/Qwen2.5-7B-Instruct,safety_issue,0,0.0
Qwen/Qwen2.5-7B-Instruct,ungrounded,97,0.42543859649122806
meta-llama/Meta-Llama-3.1-8B-Instruct,format_break,18,0.07894736842105263
meta-llama/Meta-Llama-3.1-8B-Instruct,hallucination,108,0.47368421052631576
meta-llama/Meta-Llama-3.1-8B-Instruct,jargon,16,0.07017543859649122
meta-llama/Meta-Llama-3.1-8B-Instruct,missing_detail,0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,none,63,0.27631578947368424
meta-llama/Meta-Llama-3.1-8B-Instruct,overabstain,69,0.3026315789473684
meta-llama/Meta-Llama-3.1-8B-Instruct,overcommit,22,0.09649122807017543
meta-llama/Meta-Llama-3.1-8B-Instruct,patient_utility,1,0.0043859649122807015
meta-llama/Meta-Llama-3.1-8B-Instruct,patient_utility_issue,0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,safety,2,0.008771929824561403
meta-llama/Meta-Llama-3.1-8B-Instruct,safety_issue,0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,ungrounded,126,0.5526315789473685
mistralai/Mistral-7B-Instruct-v0.3,format_break,48,0.21052631578947367
mistralai/Mistral-7B-Instruct-v0.3,hallucination,172,0.7543859649122807
mistralai/Mistral-7B-Instruct-v0.3,jargon,12,0.05263157894736842
mistralai/Mistral-7B-Instruct-v0.3,missing_detail,0,0.0
mistralai/Mistral-7B-Instruct-v0.3,none,11,0.04824561403508772
mistralai/Mistral-7B-Instruct-v0.3,overabstain,96,0.42105263157894735
mistralai/Mistral-7B-Instruct-v0.3,overcommit,29,0.12719298245614036
mistralai/Mistral-7B-Instruct-v0.3,patient_utility,0,0.0
mistralai/Mistral-7B-Instruct-v0.3,patient_utility_issue,0,0.0
mistralai/Mistral-7B-Instruct-v0.3,safety,2,0.008771929824561403
mistralai/Mistral-7B-Instruct-v0.3,safety_issue,0,0.0
mistralai/Mistral-7B-Instruct-v0.3,ungrounded,178,0.7807017543859649
