case_id,source,category,gold_nct,selected_doc,backbone,decision,parse_ok,latency_sec,answer_chars,missing_facts_n,unresolved_reqs_n,cross_trial_leak_n,gen_snippet
case_paraphrase_023,paraphrase_trec2021,risk_request,,NCT02629549,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.747,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet the general eligibility criteria for the study. However, there are some details we need to confirm b"
case_02,handcrafted,possible_match_insufficient_evidence,,NCT01482130,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.397,151,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some of the eligibility criteria for this study, but there are some details we need to confirm."",   "
case_paraphrase_002,paraphrase_trec2021,participation_request,,NCT03902262,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.844,240,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on your medical history, you may be eligible for this clinical trial. However, we need more information to confirm your eligibility. Please provide de"
case_trec2021_035,trec2021,possible_match_insufficient_evidence,NCT00071786,NCT04698525,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.348,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to be eligible for the clinical trial. However, we need more details to confirm your eligibility, such as yo"
case_trec2021_018,trec2021,possible_match_insufficient_evidence,NCT00159406,NCT04529369,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.516,119,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but we need to check a few more details."",   ""supported_patient_facts"": [    "
case_paraphrase_019,paraphrase_trec2022,cannot_determine,,NCT04530149,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.845,276,6,6,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like your symptoms and medical history might align with the criteria for this clinical trial, but we need mo"
case_trec2021_050,trec2021,possible_match_insufficient_evidence,NCT00026923,NCT04821167,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.306,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, your baby boy might be eligible for the clinical trial if he meets all the inclusion criteria and none of the exclusion c"
case_trec2021_042,trec2021,possible_match_insufficient_evidence,NCT00015613,NCT02411916,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.261,183,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet some eligibility criteria for the study, but there are some details we need to confirm before we can det"
case_08,handcrafted,explanation_request,,NCT01737242,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.455,170,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""From the information provided, it's not clear what specific parts of joining the study are still unclear. However, there are some aspects that need further "
case_paraphrase_010,paraphrase_trec2021,consent_understanding,,NCT02855892,Qwen/Qwen2.5-3B-Instruct,unlikely_match,True,11.484,342,6,1,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, it seems you do not meet the eligibility criteria for this clinical trial. The trial is specifically for patients with benign prostatic hyp"
case_trec2022_014,trec2022,possible_match_insufficient_evidence,,NCT04326582,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.535,197,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to fit the description of a patient with polyarticular joint disease, possibly gouty arthritis, but we need more"
case_trec2022_026,trec2022,possible_match_insufficient_evidence,,NCT01847690,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.807,118,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you might be eligible for the clinical trial, but we need to confirm a few details."",   ""supported_patient_facts"": [     "
case_trec2022_007,trec2022,possible_match_insufficient_evidence,,NCT04059185,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.678,181,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may not be eligible for this clinical trial as it focuses on parenting interventions rather than the specific medical"
case_paraphrase_033,paraphrase_trec2021,risk_request,,NCT01634113,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.229,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might not be eligible for this specific clinical trial. The trial focuses on evaluating the safety "
case_trec2022_048,trec2022,possible_match_insufficient_evidence,,NCT03003533,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.18,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial. However, there are some details we need to confirm."",   """
case_trec2022_047,trec2022,possible_match_insufficient_evidence,,NCT03529955,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.855,127,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you might be eligible for the clinical trial, but there are some details we need to confirm."",   ""supported_patient_facts"
case_trec2022_004,trec2022,possible_match_insufficient_evidence,,NCT00726492,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.35,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to fit the age range and have X-ray evidence of osteoarthritis in your knees. However, we need more details "
case_paraphrase_026,paraphrase_trec2021,explanation_request,,NCT03829631,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.39,0,0,0,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""It seems that your situation does not align with the clinical trial described in the provided information. The trial focuses on lumbar orthoses for low back pain, not on the cond"
case_trec2022_018,trec2022,possible_match_insufficient_evidence,,NCT02346825,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.333,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, your child might be eligible for the clinical trial, but we need more details to confirm. Please check if he meets the ag"
case_trec2022_030,trec2022,possible_match_insufficient_evidence,,NCT04146649,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.762,212,4,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial. However, we need more details to confirm. Please provide "
case_trec2021_056,trec2021,possible_match_insufficient_evidence,NCT00001981,NCT02952885,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.202,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some of the eligibility criteria for this study, but there are some details we need to confirm."",   "
case_trec2021_057,trec2021,possible_match_insufficient_evidence,NCT00124033,NCT04750044,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.437,153,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet some of the eligibility criteria for the clinical trial, but there are some details that are unclear."", "
case_trec2022_013,trec2022,possible_match_insufficient_evidence,,NCT02414295,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.206,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, the patient seems to meet some key eligibility criteria for this clinical trial, such as having Klinefelter syndrome "
