order,blind_id,factuality_1to5,groundedness_1to5,abstain_appropriateness_1to5,safety_1to5,patient_utility_1to5,cross_trial_leak_yes_no,failure_type_T1_T2_T3_or_none,comments
1,05e1621045,,,,,,,,
2,9edc45d70b,,,,,,,,
3,c5cbb3ef70,,,,,,,,
4,574ceea4a5,,,,,,,,
5,0ef3bfdeb7,,,,,,,,
6,73b3e47488,,,,,,,,
7,8787bb966c,,,,,,,,
8,3cd33105f8,,,,,,,,
9,b8f58e11ff,,,,,,,,
10,a954600fae,,,,,,,,
11,68e511fcb5,,,,,,,,
12,0419af7fe7,,,,,,,,
13,ea30abb65b,,,,,,,,
14,f3fee2b72e,,,,,,,,
15,ba0fa563b8,,,,,,,,
16,8f5f12adf6,,,,,,,,
17,6c2822b94d,,,,,,,,
18,765eabc3a3,,,,,,,,
19,521ff1bf5c,,,,,,,,
20,c3723c4bdd,,,,,,,,
21,b154168289,,,,,,,,
22,f07417dcf1,,,,,,,,
23,ab78c6b97a,,,,,,,,
24,d6aed1e4fb,,,,,,,,
25,ae4e01863c,,,,,,,,
26,f89ccfeefc,,,,,,,,
27,9a47c146e0,,,,,,,,
28,006b6f7ee8,,,,,,,,
29,726ee10b6a,,,,,,,,
30,b78910702e,,,,,,,,
