query_id,doc_id,rank_bge,bge_score
1,NCT00003537,1,0.5927734375
1,NCT01502241,2,0.431396484375
1,NCT04047303,3,-0.25244140625
1,NCT01466686,4,-0.353515625
1,NCT00004259,5,-0.5888671875
1,NCT03906448,6,-0.60546875
1,NCT00783393,7,-0.64794921875
1,NCT03603405,8,-0.6962890625
1,NCT03528642,9,-0.78955078125
1,NCT00626990,10,-0.81396484375
1,NCT01180816,11,-0.8876953125
1,NCT00360828,12,-1.0341796875
1,NCT00606008,13,-1.087890625
1,NCT01721577,14,-1.09765625
1,NCT00990652,15,-1.126953125
1,NCT00968240,16,-1.1552734375
1,NCT00100802,17,-1.166015625
1,NCT00841555,18,-1.16796875
1,NCT00003176,19,-1.1767578125
1,NCT03234595,20,-1.2333984375
1,NCT03633552,21,-1.3046875
1,NCT00761280,22,-1.3232421875
1,NCT00922974,23,-1.36328125
1,NCT00114140,24,-1.380859375
1,NCT00275067,25,-1.42578125
1,NCT01110876,26,-1.478515625
1,NCT00526812,27,-1.494140625
1,NCT00412542,28,-1.4970703125
1,NCT03224104,29,-1.603515625
1,NCT03022578,30,-1.6162109375
1,NCT00734682,31,-1.625
1,NCT00089427,32,-1.62890625
1,NCT03743740,33,-1.705078125
1,NCT04197934,34,-1.76171875
1,NCT02022644,35,-1.82421875
1,NCT00272870,36,-1.8662109375
1,NCT00504660,37,-1.9501953125
1,NCT00002944,38,-1.9970703125
1,NCT02942264,39,-2.0
1,NCT01281982,40,-2.02734375
1,NCT00028795,41,-2.05859375
1,NCT00389090,42,-2.087890625
1,NCT00272350,43,-2.09765625
1,NCT01392209,44,-2.125
1,NCT01597791,45,-2.1328125
1,NCT00704080,46,-2.138671875
1,NCT03020602,47,-2.1640625
1,NCT00268385,48,-2.22265625
1,NCT00052624,49,-2.232421875
1,NCT02879461,50,-2.259765625
1,NCT00516282,51,-2.267578125
1,NCT00360945,52,-2.30859375
1,NCT03581292,53,-2.416015625
1,NCT03784729,54,-2.455078125
1,NCT01256554,55,-2.46484375
1,NCT00859222,56,-2.470703125
1,NCT04623931,57,-2.4921875
1,NCT02453360,58,-2.505859375
1,NCT00047879,59,-2.517578125
1,NCT02005081,60,-2.529296875
1,NCT03193658,61,-2.53515625
1,NCT01119599,62,-2.564453125
1,NCT02343406,63,-2.626953125
1,NCT00458731,64,-2.64453125
1,NCT01514201,65,-2.669921875
1,NCT02761070,66,-2.712890625
1,NCT04771936,67,-2.728515625
1,NCT03514069,68,-2.751953125
1,NCT02015819,69,-2.791015625
1,NCT01189266,70,-2.86328125
1,NCT01577966,71,-2.8671875
1,NCT01475006,72,-2.896484375
1,NCT02174770,73,-2.8984375
1,NCT03152318,74,-2.9453125
1,NCT01011231,75,-2.984375
1,NCT02592642,76,-2.990234375
1,NCT00683761,77,-2.998046875
1,NCT04267978,78,-3.072265625
1,NCT03896568,79,-3.083984375
1,NCT01434602,80,-3.123046875
1,NCT00976313,81,-3.140625
1,NCT02055196,82,-3.1640625
1,NCT01781468,83,-3.197265625
1,NCT01051557,84,-3.212890625
1,NCT00869050,85,-3.330078125
1,NCT02607124,86,-3.353515625
1,NCT02700594,87,-3.357421875
1,NCT04611464,88,-3.361328125
1,NCT01517776,89,-3.431640625
1,NCT03043391,90,-3.482421875
1,NCT03605550,91,-3.505859375
1,NCT03919071,92,-3.5234375
1,NCT03696355,93,-3.66796875
1,NCT00281905,94,-3.716796875
1,NCT02991456,95,-3.994140625
1,NCT03355794,96,-3.998046875
1,NCT01837862,97,-4.05078125
1,NCT01922076,98,-4.1875
1,NCT03513679,99,-4.2578125
1,NCT03879512,100,-4.3828125
2,NCT03883490,1,-3.134765625
2,NCT03352089,2,-3.337890625
2,NCT02146755,3,-3.77734375
2,NCT00412386,4,-4.11328125
2,NCT02395107,5,-4.15625
2,NCT02624934,6,-4.2734375
2,NCT01275339,7,-4.29296875
2,NCT03628313,8,-4.49609375
2,NCT02792452,9,-4.52734375
2,NCT04514250,10,-4.55859375
2,NCT02838680,11,-4.7421875
2,NCT01272388,12,-4.75
2,NCT03474159,13,-4.82421875
2,NCT03585933,14,-4.8515625
2,NCT01932099,15,-4.90625
2,NCT02436655,16,-4.9609375
2,NCT01679431,17,-5.0
2,NCT02241109,18,-5.0625
2,NCT02806310,19,-5.12890625
2,NCT02687035,20,-5.2265625
2,NCT04068740,21,-5.25
2,NCT02799823,22,-5.25390625
2,NCT00710775,23,-5.3125
2,NCT03618095,24,-5.38671875
2,NCT02163850,25,-5.546875
2,NCT03863132,26,-5.57421875
2,NCT02986737,27,-5.6015625
2,NCT03788590,28,-5.65234375
2,NCT03633383,29,-5.6875
2,NCT04242225,30,-5.69921875
2,NCT01531374,31,-5.7265625
2,NCT02854319,32,-5.7265625
2,NCT03557242,33,-5.734375
2,NCT02907463,34,-5.7578125
2,NCT02679261,35,-5.76953125
2,NCT00294775,36,-5.78125
2,NCT03549052,37,-5.79296875
2,NCT03667365,38,-5.828125
2,NCT03315832,39,-5.83984375
2,NCT01202721,40,-5.875
2,NCT01383720,41,-5.890625
2,NCT02338154,42,-5.91796875
2,NCT01051518,43,-5.9375
2,NCT03635424,44,-5.9375
2,NCT01240902,45,-5.94921875
2,NCT02910349,46,-5.94921875
2,NCT02132026,47,-5.94921875
2,NCT04634240,48,-5.953125
2,NCT02675114,49,-5.95703125
2,NCT02673697,50,-5.9609375
2,NCT02071849,51,-5.96484375
2,NCT01575249,52,-5.98046875
2,NCT01437098,53,-5.98046875
2,NCT02214277,54,-5.99609375
2,NCT03025971,55,-6.0
2,NCT04663334,56,-6.00390625
2,NCT02661451,57,-6.00390625
2,NCT01052428,58,-6.015625
2,NCT02628899,59,-6.03515625
2,NCT01586910,60,-6.03515625
2,NCT01589380,61,-6.0390625
2,NCT03004599,62,-6.0703125
2,NCT01400841,63,-6.0859375
2,NCT01057173,64,-6.109375
2,NCT00590135,65,-6.125
2,NCT03604913,66,-6.1328125
2,NCT00005199,67,-6.171875
2,NCT02283970,68,-6.1796875
2,NCT04281771,69,-6.18359375
2,NCT04157920,70,-6.19140625
2,NCT04275726,71,-6.20703125
2,NCT03043404,72,-6.26171875
2,NCT04344353,73,-6.27734375
2,NCT02713932,74,-6.3125
2,NCT01675440,75,-6.35546875
2,NCT01837160,76,-6.359375
2,NCT02825134,77,-6.390625
2,NCT04160130,78,-6.4296875
2,NCT00535899,79,-6.48828125
2,NCT03575039,80,-6.56640625
2,NCT00252317,81,-6.58203125
2,NCT04517955,82,-6.59765625
2,NCT04310046,83,-6.6328125
2,NCT01635244,84,-6.65234375
2,NCT01634269,85,-6.71484375
2,NCT03972644,86,-6.7265625
2,NCT03112980,87,-6.734375
2,NCT04861805,88,-6.7421875
2,NCT01638156,89,-6.76171875
2,NCT04618718,90,-6.76953125
2,NCT02950428,91,-6.7734375
2,NCT02448927,92,-6.8984375
2,NCT01503671,93,-6.96484375
2,NCT04521452,94,-7.08984375
2,NCT04300686,95,-7.08984375
2,NCT03280433,96,-7.1484375
2,NCT00722748,97,-7.28125
2,NCT04299971,98,-7.29296875
2,NCT04331769,99,-7.484375
2,NCT04729933,100,-7.62109375
3,NCT03026101,1,-1.130859375
3,NCT01792817,2,-1.7998046875
3,NCT01804517,3,-2.314453125
3,NCT03142945,4,-2.35546875
3,NCT01856270,5,-2.931640625
3,NCT02897622,6,-3.435546875
3,NCT04352218,7,-3.546875
3,NCT00434564,8,-3.65625
3,NCT03995823,9,-3.7109375
3,NCT03410628,10,-3.734375
3,NCT00203190,11,-3.744140625
3,NCT02819479,12,-3.802734375
3,NCT02855294,13,-3.837890625
3,NCT01118988,14,-3.97265625
3,NCT03018288,15,-4.01953125
3,NCT02226731,16,-4.06640625
3,NCT04284501,17,-4.13671875
3,NCT00463450,18,-4.1640625
3,NCT04798248,19,-4.1640625
3,NCT03862729,20,-4.17578125
3,NCT03572998,21,-4.1796875
3,NCT00142090,22,-4.19140625
3,NCT02069366,23,-4.1953125
3,NCT02531906,24,-4.21484375
3,NCT02434536,25,-4.21484375
3,NCT03665142,26,-4.2265625
3,NCT00857051,27,-4.25
3,NCT04614142,28,-4.29296875
3,NCT00418275,29,-4.296875
3,NCT03754725,30,-4.34375
3,NCT03264612,31,-4.3515625
3,NCT03980717,32,-4.3671875
3,NCT02903680,33,-4.37109375
3,NCT00983749,34,-4.375
3,NCT03252028,35,-4.37890625
3,NCT03573778,36,-4.5078125
3,NCT01624155,37,-4.51171875
3,NCT00564096,38,-4.5546875
3,NCT02948491,39,-4.6015625
3,NCT02492347,40,-4.640625
3,NCT00953420,41,-4.65234375
3,NCT00881660,42,-4.6640625
3,NCT01599975,43,-4.671875
3,NCT01768546,44,-4.6796875
3,NCT01859507,45,-4.6953125
3,NCT01160536,46,-4.69921875
3,NCT03888495,47,-4.7109375
3,NCT03008005,48,-4.74609375
3,NCT04471285,49,-4.74609375
3,NCT00975546,50,-4.7890625
3,NCT03974217,51,-4.8125
3,NCT00667498,52,-4.82421875
3,NCT02084680,53,-4.87890625
3,NCT03529955,54,-4.890625
3,NCT02379728,55,-4.9140625
3,NCT03141359,56,-4.9296875
3,NCT04701034,57,-4.93359375
3,NCT00314431,58,-4.99609375
3,NCT02411734,59,-5.0234375
3,NCT02088866,60,-5.03125
3,NCT01602107,61,-5.03515625
3,NCT02753920,62,-5.0390625
3,NCT03704649,63,-5.04296875
3,NCT02293213,64,-5.11328125
3,NCT03751423,65,-5.16796875
3,NCT03025984,66,-5.2421875
3,NCT00291044,67,-5.26171875
