case_id,source,category,gold_nct,selected_doc,backbone,decision,parse_ok,latency_sec,answer_chars,missing_facts_n,unresolved_reqs_n,cross_trial_leak_n,gen_snippet,regime_pool,regime_gate,area
case_trec2021_036,trec2021,possible_match_insufficient_evidence,NCT00005381,NCT03158805,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.691,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some of the eligibility criteria for this clinical trial, but we need more details to confirm your e",curated_30,accept,Metabolic_Endocrine
case_trec2021_025,trec2021,possible_match_insufficient_evidence,NCT00001250,NCT02515110,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.8,134,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for this clinical trial, but we need to check a few things."",   ""supported_patien",curated_30,accept,Oncology
case_paraphrase_030,paraphrase_trec2022,consent_understanding,,NCT03829631,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.147,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you agree to participate, the study team will confirm your eligibility by asking questions and checking information. They will make sure you meet the",curated_30,accept,Neurology_CNS
case_trec2022_002,trec2022,possible_match_insufficient_evidence,,NCT01166412,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.159,0,1,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facts"": [     ""A 32-year-old woman with a last menstrual period 10 weeks ago, regular menses lasting for 6 days and repeating every 29 days."",     ""She has multiple male par",curated_30,accept,Other
case_paraphrase_005,paraphrase_trec2021,consent_understanding,,NCT03902262,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.149,196,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before we can decide if you're eligible for this trial, we need to check a few things with you. We'll ask about your medical history and do some tests to ma",curated_30,accept,Other
case_13,handcrafted,consent_understanding,,NCT01710072,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.035,241,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""To join this study, you will need to provide certain information from your medical records, such as details about your MRI scans and any medications you tak",curated_30,accept,Other
case_trec2021_022,trec2021,possible_match_insufficient_evidence,NCT00172822,NCT03791229,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.051,173,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet some of the eligibility criteria for the clinical trial. However, we need more details to confirm your e",curated_30,accept,Other
case_paraphrase_020,paraphrase_trec2022,consent_understanding,,NCT04530149,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.733,123,4,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you can join the clinical trial, the study team will need to confirm several things about your health and condition."",   ""supported_patient_facts"": [",curated_30,accept,Cardiovascular
case_04,handcrafted,cannot_determine,,NCT00800644,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,7.682,130,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you might be eligible to participate in this study, but we need to check a few things."",   ""supported_patient_fa",curated_30,accept,MSK_Bone
case_trec2022_045,trec2022,possible_match_insufficient_evidence,,NCT00314431,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.42,393,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you might be eligible for the clinical trial, but we need more details to confirm. You have Down syndrome, which",curated_30,accept,Other
