area,backbone,n,leak_rate,commit_rate,abstain_rate
Cardiovascular,Qwen/Qwen2.5-3B-Instruct,4,0.0,0.5,0.0
Cardiovascular,Qwen/Qwen2.5-7B-Instruct,4,0.0,0.5,0.0
Cardiovascular,meta-llama/Meta-Llama-3.1-8B-Instruct,4,0.0,0.0,0.0
Cardiovascular,mistralai/Mistral-7B-Instruct-v0.3,4,0.0,0.25,0.0
MSK_Bone,Qwen/Qwen2.5-3B-Instruct,6,0.0,0.5,0.0
MSK_Bone,Qwen/Qwen2.5-7B-Instruct,6,0.0,0.6666666666666666,0.0
MSK_Bone,meta-llama/Meta-Llama-3.1-8B-Instruct,6,0.0,0.16666666666666666,0.0
MSK_Bone,mistralai/Mistral-7B-Instruct-v0.3,6,0.0,0.3333333333333333,0.0
Metabolic_Endocrine,Qwen/Qwen2.5-3B-Instruct,2,0.0,0.0,0.0
Metabolic_Endocrine,Qwen/Qwen2.5-7B-Instruct,2,0.0,1.0,0.0
Metabolic_Endocrine,meta-llama/Meta-Llama-3.1-8B-Instruct,2,0.0,0.5,0.0
Metabolic_Endocrine,mistralai/Mistral-7B-Instruct-v0.3,2,0.0,0.0,0.0
Neurology_CNS,Qwen/Qwen2.5-3B-Instruct,3,0.0,0.6666666666666666,0.0
Neurology_CNS,Qwen/Qwen2.5-7B-Instruct,3,0.0,0.3333333333333333,0.0
Neurology_CNS,meta-llama/Meta-Llama-3.1-8B-Instruct,3,0.0,0.3333333333333333,0.0
Neurology_CNS,mistralai/Mistral-7B-Instruct-v0.3,3,0.0,0.0,0.0
Oncology,Qwen/Qwen2.5-3B-Instruct,6,0.0,0.5,0.0
Oncology,Qwen/Qwen2.5-7B-Instruct,6,0.0,0.3333333333333333,0.0
Oncology,meta-llama/Meta-Llama-3.1-8B-Instruct,6,0.0,0.16666666666666666,0.0
Oncology,mistralai/Mistral-7B-Instruct-v0.3,6,0.0,0.0,0.0
Other,Qwen/Qwen2.5-3B-Instruct,9,0.0,0.7777777777777778,0.0
Other,Qwen/Qwen2.5-7B-Instruct,9,0.0,0.7777777777777778,0.0
Other,meta-llama/Meta-Llama-3.1-8B-Instruct,9,0.0,0.3333333333333333,0.0
Other,mistralai/Mistral-7B-Instruct-v0.3,9,0.0,0.2222222222222222,0.0
