path,case_id,backbone,baseline_id,n_dropped,is_consensus_flagged
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_01.json,case_01,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,3,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_02.json,case_02,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_03.json,case_03,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,3,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_04.json,case_04,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,1,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_05.json,case_05,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_06.json,case_06,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_07.json,case_07,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,1,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_08.json,case_08,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_09.json,case_09,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_10.json,case_10,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,3,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_11.json,case_11,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,0,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_12.json,case_12,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,3,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_13.json,case_13,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,4,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_14.json,case_14,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,0,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_15.json,case_15,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,1,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_001.json,case_paraphrase_001,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,5,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_002.json,case_paraphrase_002,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,1,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_003.json,case_paraphrase_003,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,0,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_004.json,case_paraphrase_004,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,0,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_005.json,case_paraphrase_005,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,4,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_006.json,case_paraphrase_006,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_007.json,case_paraphrase_007,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_008.json,case_paraphrase_008,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,1,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_009.json,case_paraphrase_009,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_010.json,case_paraphrase_010,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,2,False
outputs/phase5/baseline_gens/B1_multi_rag/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_011.json,case_paraphrase_011,Qwen/Qwen2.5-3B-Instruct,B1_multi_rag,5,False
