case,gold,gold_bm25_rank,gold_score
case_trec2021_009,NCT00013845,8141,332.9939249208679
case_trec2021_050,NCT00026923,304472,253.70434499302
case_trec2021_056,NCT00001981,1730,209.56842901427206
case_trec2021_018,NCT00159406,1826,284.61153349646395
case_trec2021_028,NCT00000568,1239,255.50056769393262
case_trec2021_026,NCT00370344,22147,309.4705974685021
case_trec2021_047,NCT00004727,9542,324.9467146105856
case_trec2021_048,NCT00750139,85,358.89224179564934
case_trec2021_019,NCT00000531,10,382.99322412436754
case_trec2021_042,NCT00015613,152036,344.01854835752016
case_trec2021_025,NCT00001250,515,273.41231407209165
case_trec2021_053,NCT00395538,111,157.376145325203
case_trec2021_036,NCT00005381,227315,190.9958855551683
case_trec2021_070,NCT00042562,147618,257.94901775826554
case_trec2021_001,NCT00002814,3093,247.02330945056676
case_trec2021_059,NCT00001909,558,289.7475833742651
case_trec2021_035,NCT00071786,49878,335.6725424518126
case_trec2021_012,NCT00001314,340,174.56651200089843
case_trec2021_008,NCT00005579,33201,381.5997273957854
case_trec2021_015,NCT00003049,4282,417.5613982787724
case_trec2021_013,NCT00005985,21508,205.44137492189608
case_trec2021_034,NCT00009659,28441,297.74927844252045
case_trec2021_073,NCT00966719,11826,267.1595731217854
case_trec2021_033,NCT00006146,8634,232.06375107866572
case_trec2021_044,NCT00323752,1184,316.6867860283692
case_trec2021_061,NCT00005635,12964,202.4928983313215
case_trec2021_058,NCT00124722,317225,127.0584311035771
case_trec2021_031,NCT00002536,17046,129.32151178760768
case_trec2021_057,NCT00124033,349,334.28631705216645
case_trec2021_049,NCT00001253,1158,236.14598943939012
case_trec2021_040,NCT00051636,238800,231.51857712646608
case_trec2021_022,NCT00172822,373606,122.30273743241665
case_trec2021_075,NCT00001776,55263,242.60439494050277
case_trec2021_021,NCT00075205,688,273.52219145377893
case_trec2021_002,NCT00005199,66,389.112426947494
case_trec2021_067,NCT00003384,149,132.58369865095614
case_trec2021_043,NCT00097422,59147,184.4265645403845
case_trec2021_016,NCT00037973,5912,276.755429334327
case_trec2021_068,NCT00148044,363924,84.7910052885453
case_trec2021_024,NCT00111592,29594,147.5175476027614
case_trec2021_004,NCT00002471,15373,252.4968979229738
case_trec2021_020,NCT00004332,34781,288.0925397216462
case_trec2021_060,NCT00064649,212,246.79788943575028
case_trec2021_005,NCT00000469,8050,277.1249665869981
case_trec2021_032,NCT00004465,139563,158.12233480059888
case_trec2021_007,NCT00006164,31999,283.1885778743903
case_trec2021_029,NCT00133809,181,458.48147777295037
case_trec2021_054,NCT00001256,63,278.8434228930887
case_trec2021_014,NCT00037973,131543,245.43414692899225
case_trec2021_065,NCT00005754,112598,211.79685547813995
